,1,2,3,4
401056252,70,67,69.0,69.0
401056503,74,70,,
401056506,67,72,65.0,71.0
401056511,71,68,68.0,65.0
401056513,69,77,,
401056514,69,73,74.0,
401056515,69,71,71.0,73.0
401056517,70,68,66.0,72.0
401056521,70,70,69.0,74.0
401056522,75,73,,
401056525,68,67,68.0,71.0
401056526,71,70,69.0,71.0
401056528,72,72,,
401056549,70,72,,
401056553,73,69,71.0,70.0
401056554,72,70,68.0,73.0
401056556,72,75,,
401148235,69,70,71.0,71.0
401148236,67,69,65.0,70.0
401148237,72,75,,
401148242,70,67,72.0,67.0
401148243,73,67,,
401155419,70,71,73.0,
401155420,71,72,69.0,76.0
401155421,68,70,72.0,68.0
401155422,68,69,71.0,75.0
401155423,71,73,,
401155460,71,72,,
401155466,69,74,,
401155472,66,73,69.0,64.0
401155473,73,70,,
401219480,72,71,,
401219498,71,68,,
401219793,72,68,,
401219794,71,71,,
401219799,75,73,,
401219801,68,69,69.0,72.0
401219802,72,70,,
401223849,74,73,,
401242997,64,68,65.0,72.0
401242998,75,73,,
401243000,70,74,,
401243003,70,70,71.0,69.0
401243008,70,70,74.0,74.0
401243401,68,75,,
401243419,72,68,,
401243433,72,71,,
