,1,2,3,4
401056501,75,69,71.0,63.0
401056502,69,73,72.0,73.0
401056510,72,75,,
401056512,70,66,65.0,68.0
401056514,70,72,,
401056515,66,65,69.0,76.0
401056520,72,71,,
401056522,70,69,68.0,70.0
401056527,69,68,72.0,73.0
401056542,68,70,71.0,66.0
401056543,67,71,69.0,67.0
401056544,68,69,69.0,65.0
401056547,78,73,,
401056552,71,64,72.0,74.0
401056554,71,66,66.0,68.0
401056556,70,69,71.0,68.0
401056559,70,68,74.0,67.0
401148235,65,73,73.0,68.0
401148236,66,67,65.0,74.0
401148239,73,67,66.0,71.0
401148241,66,69,75.0,67.0
401155423,72,64,67.0,70.0
401155424,74,68,68.0,70.0
401155427,77,72,,
401155474,66,70,75.0,67.0
401155475,72,69,70.0,75.0
401219333,71,74,74.0,75.0
401219478,70,72,71.0,73.0
401219481,68,70,70.0,68.0
401219800,68,69,74.0,68.0
401242996,68,71,68.0,70.0
401242997,69,64,70.0,66.0
401242998,67,69,72.0,73.0
401243001,69,73,76.0,66.0
401243002,72,72,72.0,77.0
401243005,72,71,73.0,71.0
401243006,69,67,72.0,68.0
401243010,74,73,79.0,73.0
