,1,2,3,4
401056503,70,71.0,69.0,75.0
401056504,72,71.0,,
401056505,68,71.0,,
401056506,74,68.0,,
401056511,66,68.0,68.0,73.0
401056512,73,72.0,,
401056513,69,76.0,,
401056514,76,73.0,71.0,
401056515,70,70.0,73.0,72.0
401056522,73,73.0,,
401056523,71,70.0,77.0,71.0
401056525,74,77.0,,
401056528,76,74.0,,
401056545,69,67.0,69.0,68.0
401056548,69,72.0,,
401056549,69,69.0,,
401056555,70,69.0,,
401056557,73,70.0,,
401056558,70,70.0,,
401148233,70,75.0,,
401148234,68,70.0,75.0,73.0
401148237,71,,,
401148240,68,70.0,72.0,72.0
401148243,67,67.0,69.0,71.0
401155422,69,73.0,70.0,72.0
401155425,72,70.0,74.0,68.0
401155472,70,70.0,68.0,68.0
401219480,73,73.0,,
401219793,73,74.0,,
401219799,76,74.0,,
401243008,70,71.0,78.0,68.0
