,1,2,3,4
401056501,74,65,73.0,68.0
401056502,74,69,71.0,73.0
401056512,76,68,,
401056513,69,72,69.0,70.0
401056516,71,74,74.0,74.0
401056520,77,72,,
401056522,70,76,,
401056527,75,72,75.0,74.0
401056528,67,74,67.0,72.0
401056545,69,67,69.0,68.0
401056547,68,71,68.0,74.0
401056551,70,68,67.0,69.0
401056552,73,69,74.0,73.0
401056554,73,70,69.0,75.0
401056555,67,71,,71.0
401056556,75,72,,
401056559,66,69,66.0,73.0
401077167,69,69,70.0,69.0
401148240,69,67,68.0,67.0
401148243,68,65,67.0,69.0
401155418,69,69,71.0,68.0
401155419,67,67,68.0,69.0
401155422,69,67,74.0,74.0
401155423,71,70,72.0,75.0
401155425,70,73,,
401155427,73,77,,
401155459,67,71,67.0,76.0
401155460,72,73,,
401155461,73,77,,
401155472,67,69,66.0,66.0
401155474,69,68,64.0,68.0
401155475,72,71,73.0,72.0
401219333,72,74,67.0,75.0
401219481,67,69,73.0,67.0
401219498,69,66,66.0,69.0
401219796,77,73,79.0,76.0
401219797,67,68,68.0,70.0
401219800,79,69,,
401219801,66,71,68.0,65.0
401219802,76,67,,
401242998,64,74,75.0,73.0
401243000,74,76,,
401243001,67,70,71.0,71.0
401243401,67,71,70.0,72.0
