,1,2,3,4
401056500,76,68.0,68.0,68.0
401056501,73,68.0,72.0,69.0
401056502,70,71.0,67.0,72.0
401056507,69,73.0,70.0,70.0
401056510,62,65.0,67.0,68.0
401056511,70,69.0,67.0,68.0
401056513,69,77.0,,
401056514,75,70.0,66.0,71.0
401056515,72,75.0,,
401056522,76,75.0,,
401056526,72,70.0,68.0,72.0
401056528,69,74.0,,
401056543,71,69.0,73.0,69.0
401056544,69,64.0,74.0,67.0
401056547,70,67.0,70.0,78.0
401056549,66,67.0,71.0,76.0
401056552,74,70.0,75.0,75.0
401056553,69,70.0,67.0,66.0
401056554,68,70.0,74.0,70.0
401056556,73,71.0,73.0,69.0
401056559,66,71.0,72.0,67.0
401148236,68,66.0,67.0,68.0
401148238,70,70.0,71.0,68.0
401148239,68,72.0,73.0,70.0
401148241,71,71.0,73.0,70.0
401155418,69,67.0,73.0,72.0
401155419,67,69.0,65.0,69.0
401155421,72,70.0,,
401155423,72,77.0,,
401155427,72,77.0,,
401155459,73,71.0,,
401155460,74,73.0,,
401155461,76,80.0,,
401155472,72,76.0,,
401219333,73,,,
401219478,73,72.0,,
401219481,73,73.0,,
401219498,74,68.0,,
401219793,70,68.0,69.0,69.0
401219794,68,71.0,73.0,73.0
401219795,67,67.0,68.0,74.0
401219799,69,73.0,67.0,68.0
401219800,75,70.0,,
401219801,71,68.0,68.0,66.0
401219802,72,76.0,,
401223849,69,73.0,76.0,70.0
401242997,71,69.0,,
401242999,67,69.0,67.0,65.0
401243000,72,70.0,76.0,69.0
401243001,71,71.0,73.0,68.0
401243003,67,70.0,67.0,69.0
401243004,70,72.0,69.0,71.0
401243005,74,72.0,,
401243009,77,71.0,,
401243011,70,80.0,,
401243401,67,69.0,70.0,71.0
401243419,69,70.0,,
401243420,70,72.0,74.0,70.0
401243433,71,73.0,,
