,1,2,3,4
401056252,73,71,,
401056500,72,74,68.0,70.0
401056504,70,70,,
401056505,65,66,69.0,68.0
401056510,68,68,71.0,66.0
401056511,70,65,73.0,
401056515,76,75,,
401056520,67,70,71.0,75.0
401056521,74,69,80.0,73.0
401056522,70,71,,
401056523,70,71,75.0,68.0
401056528,72,74,,
401056545,67,67,68.0,70.0
401056548,74,65,68.0,68.0
401056549,72,77,,
401056550,79,71,,
401056551,70,75,,
401056553,68,71,72.0,73.0
401056554,67,76,75.0,71.0
401056556,74,77,,
401056557,69,68,72.0,69.0
401056558,71,67,,
401148233,67,73,,
401148234,69,70,74.0,69.0
401148235,72,71,,
401148236,69,73,,
401148240,66,73,,
401148243,71,67,66.0,72.0
401155418,72,70,,
401155419,70,70,66.0,77.0
401155420,75,71,,
401155422,73,71,70.0,
401155425,70,70,70.0,70.0
401155427,74,74,,
401155473,69,71,,
401219480,69,72,64.0,70.0
401219793,74,65,67.0,70.0
401219794,66,70,77.0,69.0
401219799,68,70,69.0,67.0
401242997,69,65,64.0,74.0
401242998,68,78,,
401243003,70,71,71.0,70.0
401243004,72,78,,
401243005,78,72,,
401243006,72,70,,
401243009,71,69,69.0,69.0
401243011,71,75,,
401243401,68,73,,
401243419,70,70,,
