,1,2,3,4
401056252,69,73,,
401056500,72,65,66.0,73.0
401056501,75,70,69.0,66.0
401056504,69,68,67.0,68.0
401056505,72,70,,
401056511,69,73,69.0,
401056512,67,70,74.0,74.0
401056513,70,71,66.0,72.0
401056514,69,69,77.0,
401056515,68,69,70.0,71.0
401056521,76,66,73.0,77.0
401056522,70,74,,
401056523,75,73,,
401056526,69,70,71.0,72.0
401056528,76,73,,
401056545,69,71,,
401056546,74,72,,
401056548,67,68,70.0,67.0
401056549,69,69,,
401056550,69,72,76.0,80.0
401056551,67,66,70.0,72.0
401056552,72,69,77.0,68.0
401056553,70,71,72.0,69.0
401056554,82,67,,
401056557,71,70,,
401056558,68,71,65.0,68.0
401148233,69,67,71.0,78.0
401148235,74,72,,
401148236,67,65,71.0,67.0
401148237,70,69,68.0,72.0
401148240,66,68,74.0,65.0
401148242,70,71,69.0,68.0
401148243,74,71,,
401155419,71,73,70.0,
401155420,72,66,73.0,68.0
401155421,68,72,77.0,72.0
401155422,68,72,70.0,75.0
401155425,72,70,70.0,67.0
401155426,70,71,71.0,72.0
401155427,73,72,76.0,72.0
401155459,74,76,,
401155460,72,75,,
401155466,73,67,,
401155472,71,70,,
401155473,70,68,,
401155474,73,66,66.0,72.0
401219480,70,71,68.0,73.0
401219793,73,65,69.0,67.0
401219794,72,69,74.0,71.0
401219795,69,64,73.0,65.0
401219799,71,68,69.0,70.0
401219800,75,82,,
401219801,76,66,,
401219802,76,78,,
401223849,76,75,,
401242998,66,78,,
401242999,70,70,,
401243000,72,70,68.0,75.0
401243003,77,70,,
401243005,74,78,,
401243006,71,70,72.0,72.0
401243008,71,79,,
401243009,74,72,73.0,72.0
401243011,74,70,,
401243401,73,72,,
401243419,72,71,,
401243420,73,71,75.0,79.0
401243433,68,72,75.0,66.0
