,1,2,3,4
401056510,73,68,,
401148234,75,73,,
401148235,72,79,,
401148242,67,69,66.0,72.0
401148243,74,65,,
401155418,73,68,65.0,73.0
401155419,72,64,71.0,67.0
401155420,72,76,,
401155422,72,68,70.0,73.0
401155425,70,66,69.0,71.0
401155460,73,67,,
401155472,72,73,,
401155473,71,66,70.0,68.0
401219480,68,71,75.0,69.0
401219799,73,72,,
401243000,75,72,,
401243003,73,70,75.0,71.0
401243008,71,70,71.0,69.0
401243009,73,73,72.0,68.0
401243011,74,69,,
401243401,67,71,69.0,77.0
401243419,65,69,67.0,73.0
401243420,69,71,72.0,69.0
