,1,2,3,4
401148233,72,66,,
401148234,72,73,,
401148235,72,73,,
401148236,67,67,69.0,67.0
401148237,71,73,70.0,73.0
401148240,70,68,70.0,66.0
401148242,68,78,,
401148243,74,67,,
401155418,73,70,,
401155419,71,70,67.0,
401155420,71,69,71.0,76.0
401155422,73,67,77.0,
401155425,73,72,,
401155460,72,69,,
401155472,75,66,,
401155473,74,74,,
401219480,70,73,,
401219793,69,67,67.0,73.0
401219799,71,72,70.0,70.0
401219802,72,69,72.0,70.0
401242997,68,70,,
401242998,73,74,,
401243000,68,72,75.0,71.0
401243003,71,79,,
401243008,71,73,72.0,74.0
401243401,71,72,,
401243419,73,73,,
