,1,2,3,4
401056252,72,68,,
401056503,75,65,71.0,71.0
401056506,72,68,65.0,68.0
401056510,72,67,,
401056511,68,68,72.0,
401056512,68,71,72.0,75.0
401056514,70,71,69.0,73.0
401056517,74,78,,
401056520,66,71,75.0,69.0
401056523,71,73,,
401056525,70,68,69.0,69.0
401056526,77,75,,
401056528,73,68,76.0,74.0
401056545,72,67,,
401056546,70,68,65.0,73.0
401056548,71,71,,
401056549,73,66,,
401056550,71,74,,
401056551,74,70,,
401056553,69,71,72.0,70.0
401056555,71,61,,69.0
401056557,69,71,,
401056558,76,73,,
401148242,73,75,,
