,1,2,3,4
401056252,70,68.0,67.0,73.0
401056503,70,70.0,67.0,69.0
401056505,70,68.0,71.0,70.0
401056506,72,71.0,,
401056511,72,73.0,68.0,
401056512,67,72.0,70.0,76.0
401056513,76,76.0,,
401056515,67,72.0,71.0,75.0
401056520,69,70.0,69.0,74.0
401056521,77,79.0,,
401056523,72,70.0,69.0,70.0
401056528,73,,,
401056545,66,68.0,69.0,69.0
401056546,65,66.0,65.0,73.0
401056548,66,68.0,64.0,71.0
401056550,69,72.0,71.0,73.0
401056551,68,70.0,69.0,69.0
401056553,69,71.0,72.0,71.0
401056554,76,72.0,,
401056555,68,74.0,,
401056558,70,68.0,,
401148233,70,71.0,,
401148234,70,71.0,70.0,73.0
401148236,71,70.0,,
401148237,72,71.0,77.0,78.0
401148243,68,68.0,67.0,71.0
401155419,68,68.0,75.0,
401155420,72,70.0,73.0,77.0
401155422,71,75.0,76.0,
401155425,69,71.0,69.0,69.0
401155459,70,75.0,,
401155460,68,75.0,,
401155472,70,69.0,72.0,68.0
401155473,72,67.0,,
401219480,70,74.0,,
401219498,71,66.0,68.0,69.0
401219793,73,69.0,,
401219794,69,72.0,71.0,69.0
401219799,74,71.0,,
401242997,75,66.0,,
401242998,71,71.0,72.0,73.0
401243000,70,76.0,,
401243003,70,72.0,70.0,68.0
401243008,73,73.0,,
401243011,72,71.0,,
401243401,70,71.0,,
401243419,72,70.0,,
401243420,76,72.0,,
