,1,2,3,4
401148235,72,70.0,72.0,74.0
401148236,73,72.0,,
401148237,70,81.0,,
401148240,73,75.0,,
401148242,75,73.0,,
401155418,76,76.0,,
401155419,72,67.0,70.0,
401155421,76,69.0,,
401155422,75,74.0,74.0,
401155425,71,69.0,75.0,69.0
401155426,77,75.0,,
401155460,70,69.0,73.0,73.0
401155466,74,69.0,,
401155472,66,68.0,76.0,76.0
401155473,72,72.0,,
401219480,77,73.0,,
401219498,71,75.0,,
401219794,73,71.0,,
401219795,69,70.0,,
401219799,71,74.0,,
401219800,74,75.0,,
401219801,73,75.0,,
401219802,74,73.0,,
401223849,76,,,
401242997,69,72.0,,
401242999,69,67.0,71.0,67.0
401243000,77,76.0,,
401243003,71,72.0,67.0,67.0
401243006,76,75.0,,
401243008,71,72.0,74.0,74.0
401243009,74,72.0,73.0,67.0
401243011,73,74.0,,
401243401,75,70.0,,
401243419,70,70.0,,
401243420,72,72.0,73.0,73.0
401243433,71,67.0,69.0,74.0
