,1,2,3,4
401056500,70,70,68.0,72.0
401056501,75,73,69.0,68.0
401056502,72,71,76.0,75.0
401056512,70,77,,
401056513,67,64,69.0,69.0
401056514,67,69,71.0,74.0
401056515,71,75,,
401056516,71,71,69.0,71.0
401056522,73,70,72.0,77.0
401056523,71,75,,
401056527,72,75,72.0,74.0
401056528,70,72,75.0,71.0
401056544,68,73,71.0,66.0
401056545,67,68,70.0,66.0
401056547,70,71,75.0,71.0
401056551,69,70,66.0,73.0
401056552,73,73,,
401056553,71,71,72.0,70.0
401056554,75,72,,
401056556,75,71,,
401148233,70,72,,
401148236,68,70,,
401148238,71,71,70.0,73.0
401148240,71,72,,
401155421,67,67,70.0,69.0
401155422,73,70,72.0,
401155423,73,73,,
401155424,71,71,71.0,70.0
401155459,66,66,66.0,73.0
401155460,70,71,,
401155461,74,75,,
401155466,68,69,,
401155472,72,69,,
401155473,71,68,,
401219333,75,79,,
401219480,71,72,,
401219498,69,69,67.0,72.0
401219793,68,71,68.0,68.0
401219794,73,74,,
401219799,73,70,71.0,67.0
401219800,71,80,,
401219801,70,68,70.0,64.0
401219802,71,68,69.0,70.0
401242997,69,75,,
401243000,71,69,73.0,70.0
401243001,71,69,70.0,71.0
401243003,67,68,68.0,66.0
401243004,74,71,67.0,76.0
401243005,74,73,,
401243009,75,71,70.0,68.0
401243011,68,69,73.0,69.0
401243433,69,68,75.0,71.0
