,1,2,3,4
401056252,73,71.0,,
401056503,70,75.0,,
401056504,70,72.0,,
401056511,73,68.0,67.0,
401056512,66,71.0,74.0,76.0
401056513,72,73.0,,
401056520,72,71.0,,
401056523,73,76.0,,
401056526,72,72.0,,
401056549,78,71.0,,
401056550,72,72.0,,
401056551,74,67.0,,
401056555,72,67.0,,
401148233,75,69.0,,
401148234,81,70.0,,
401148235,72,72.0,,
401148236,71,68.0,,
401148237,77,,,
401148243,71,66.0,66.0,71.0
401155418,72,71.0,,
401155419,74,63.0,69.0,71.0
401155420,74,70.0,,
401155421,67,69.0,69.0,69.0
401155422,73,68.0,76.0,
401155425,72,69.0,74.0,70.0
401155426,70,71.0,69.0,71.0
401155460,67,68.0,73.0,69.0
401155472,70,69.0,68.0,69.0
401155473,69,70.0,,
401219480,73,71.0,,
401219793,69,70.0,74.0,71.0
401219794,71,71.0,,
401219799,73,75.0,,
401219801,74,71.0,,
401219802,69,70.0,69.0,70.0
401242997,73,71.0,,
401242998,66,75.0,73.0,73.0
401243000,67,78.0,,
401243003,75,72.0,,
401243006,69,62.0,76.0,66.0
401243008,73,75.0,,
401243009,70,70.0,72.0,71.0
401243011,76,76.0,,
401243401,64,70.0,72.0,71.0
401243420,73,69.0,70.0,72.0
401243433,74,67.0,72.0,72.0
