,1,2,3,4
401056252,66,65,69.0,74.0
401056500,75,69,70.0,71.0
401056501,72,72,72.0,67.0
401056502,75,76,68.0,72.0
401056507,75,69,71.0,72.0
401056510,66,69,65.0,68.0
401056512,68,73,71.0,74.0
401056513,69,70,72.0,71.0
401056514,69,74,75.0,
401056521,73,71,74.0,71.0
401056522,69,72,65.0,69.0
401056523,70,70,73.0,71.0
401056527,75,74,,
401056528,71,71,69.0,74.0
401056542,73,72,67.0,72.0
401056543,66,71,67.0,68.0
401056544,71,67,63.0,71.0
401056545,64,70,68.0,68.0
401056547,74,70,,
401056549,68,69,71.0,69.0
401056552,74,67,73.0,69.0
401056553,74,67,68.0,69.0
401056555,69,60,,69.0
401056556,75,69,74.0,77.0
401056557,70,69,65.0,67.0
401056559,69,73,69.0,66.0
401148234,69,69,71.0,73.0
401148235,73,67,69.0,70.0
401148236,67,70,68.0,68.0
401155418,72,67,69.0,66.0
401155420,69,67,72.0,68.0
401155421,72,72,,
401155422,73,67,74.0,
401155424,76,69,70.0,64.0
401155460,73,69,,
401155466,67,69,66.0,70.0
401155467,73,71,72.0,69.0
401155473,70,67,65.0,71.0
401155474,73,72,,
401219333,75,77,,
401219478,71,71,79.0,74.0
401219481,72,66,72.0,71.0
401219498,74,70,,
401219793,73,70,,
401219794,70,66,67.0,73.0
401219795,67,68,63.0,74.0
401219800,65,71,76.0,69.0
401219801,76,66,,
401223849,72,71,,
401242997,73,69,,
401242998,69,70,77.0,69.0
401243000,74,76,,
401243001,71,73,,
401243004,75,71,75.0,75.0
401243005,74,75,,
401243009,72,67,72.0,68.0
401243011,69,71,68.0,71.0
401243401,73,74,,
401243419,66,68,68.0,70.0
401243433,69,69,67.0,71.0
