,1,2,3,4
401056500,72,72.0,74.0,68.0
401056501,74,70.0,73.0,71.0
401056504,74,65.0,69.0,68.0
401056505,68,63.0,76.0,68.0
401056506,69,67.0,65.0,69.0
401056510,67,69.0,68.0,66.0
401056511,71,72.0,69.0,
401056513,67,73.0,72.0,70.0
401056514,64,72.0,69.0,71.0
401056515,71,69.0,71.0,76.0
401056520,71,70.0,70.0,68.0
401056521,74,73.0,,
401056522,76,67.0,68.0,75.0
401056523,73,69.0,69.0,76.0
401056526,71,72.0,,
401056528,71,68.0,71.0,76.0
401056544,73,77.0,,
401056545,70,71.0,,
401056546,71,70.0,,
401056549,68,73.0,,
401056551,68,72.0,69.0,71.0
401056552,81,,,
401056553,69,71.0,67.0,69.0
401056554,72,76.0,,
401056555,72,66.0,,71.0
401056557,74,66.0,,
401056558,67,72.0,68.0,69.0
401148234,69,72.0,70.0,76.0
401148235,70,67.0,70.0,73.0
401148236,65,69.0,64.0,67.0
401148237,69,74.0,69.0,72.0
401148240,69,65.0,65.0,67.0
401148242,66,72.0,69.0,65.0
401148243,69,73.0,,
401155418,72,71.0,,
401155419,76,68.0,68.0,
401155421,72,76.0,,
401155422,72,68.0,68.0,77.0
401155423,72,74.0,,
401155426,74,75.0,,
401155427,73,72.0,78.0,77.0
401155459,72,69.0,,
401155460,73,76.0,,
401155466,67,70.0,,
401155472,71,73.0,,
401155473,73,67.0,,
401155474,71,75.0,,
401219498,71,73.0,,
401219793,77,75.0,,
401219795,69,68.0,,
401219799,70,68.0,67.0,64.0
401223849,71,71.0,68.0,71.0
401242996,70,67.0,71.0,71.0
401242997,67,69.0,68.0,73.0
401242999,72,74.0,,
401243000,70,72.0,69.0,72.0
401243001,72,69.0,77.0,70.0
401243004,78,74.0,,
401243005,80,74.0,,
401243006,71,67.0,73.0,71.0
401243009,76,76.0,,
401243010,78,74.0,,
401243011,68,74.0,,
401243401,74,68.0,,
401243433,73,71.0,,
