,1,2,3,4
401056252,70,70,73.0,72.0
401056500,70,73,68.0,67.0
401056501,77,68,73.0,68.0
401056503,72,72,,
401056504,76,70,,
401056505,70,74,,
401056506,74,70,,
401056510,66,69,64.0,66.0
401056511,70,68,68.0,69.0
401056513,71,69,71.0,71.0
401056514,69,70,73.0,71.0
401056515,69,70,73.0,75.0
401056520,69,70,72.0,68.0
401056522,75,71,,
401056523,68,72,69.0,73.0
401056525,71,72,,
401056526,67,70,70.0,66.0
401056528,68,70,72.0,68.0
401056544,66,69,70.0,76.0
401056545,66,66,67.0,69.0
401056546,75,69,,
401056548,71,73,,
401056549,74,70,,
401056551,67,72,70.0,68.0
401056553,70,72,73.0,71.0
401056554,78,65,71.0,71.0
401056556,71,73,74.0,72.0
401056557,66,72,65.0,68.0
401148233,73,67,,
401148234,71,70,70.0,68.0
401148235,70,70,70.0,69.0
401148236,65,65,67.0,67.0
401148238,72,76,75.0,73.0
401148240,70,70,70.0,69.0
401148242,69,72,64.0,70.0
401148243,70,66,66.0,67.0
401155418,73,68,72.0,67.0
401155419,67,70,70.0,75.0
401155421,72,71,,
401155422,73,77,68.0,
401155423,72,68,69.0,71.0
401155426,67,75,77.0,73.0
401155427,77,73,,
401155459,68,70,74.0,64.0
401155460,68,67,73.0,68.0
401155461,75,75,,
401155466,65,67,68.0,68.0
401155473,70,66,69.0,69.0
401155474,72,69,,
401219480,67,71,73.0,70.0
401219481,72,73,,
401219498,68,70,70.0,67.0
401219793,67,67,66.0,70.0
401219794,70,74,,
401219795,64,74,,
401219799,67,78,,
401219800,73,69,69.0,72.0
401219801,74,63,72.0,67.0
401219802,72,73,,
401223849,75,73,,
401242997,66,67,69.0,68.0
401242998,71,73,,
401242999,70,68,72.0,70.0
401243000,66,71,69.0,73.0
401243001,75,69,,
401243004,74,77,,
401243005,74,68,72.0,75.0
401243006,79,72,,
401243008,71,72,75.0,77.0
401243009,73,77,,
401243011,70,68,68.0,69.0
401243401,74,65,72.0,70.0
401243419,69,69,67.0,71.0
401243420,68,73,76.0,68.0
401243433,71,73,,
