,1,2,3,4
401056500,70,70,68.0,70.0
401056501,73,69,71.0,71.0
401056504,72,70,,
401056505,68,67,65.0,66.0
401056506,70,65,73.0,64.0
401056507,73,72,73.0,68.0
401056510,70,68,68.0,66.0
401056512,72,73,,
401056513,74,68,,
401056514,77,79,66.0,
401056520,73,73,,
401056521,75,71,,
401056522,71,69,73.0,70.0
401056523,78,75,,
401056525,71,69,71.0,70.0
401056528,72,73,,
401056544,74,71,,
401056545,64,64,66.0,70.0
401056546,69,67,68.0,67.0
401056548,67,67,70.0,70.0
401056549,70,69,,
401056550,70,71,70.0,76.0
401056553,73,66,73.0,70.0
401056554,74,72,,
401056555,74,68,,
401056557,69,67,71.0,67.0
401056558,67,71,67.0,66.0
401148233,68,68,71.0,67.0
401148234,70,73,,
401148235,70,70,72.0,68.0
401148237,71,72,70.0,71.0
401148242,71,67,69.0,64.0
401148243,70,69,,
401155418,73,70,,
401155419,77,71,64.0,
401155421,72,67,72.0,71.0
401155422,70,70,77.0,
401155425,72,68,67.0,70.0
401155426,72,69,72.0,66.0
401155459,67,74,,
401155466,69,68,,
401155472,70,67,68.0,68.0
401155473,69,72,,
401155474,74,68,,
401219480,70,71,71.0,73.0
401219498,65,71,65.0,68.0
401219793,69,70,73.0,72.0
401219794,70,72,,
401219795,65,66,68.0,74.0
401219799,68,70,74.0,65.0
401219800,74,68,72.0,69.0
401219801,69,75,,
401219802,74,65,66.0,70.0
401223849,73,72,,
401242997,66,68,67.0,67.0
401242999,70,70,,
401243000,71,75,,
401243003,67,71,70.0,65.0
401243005,74,71,,
401243006,71,64,70.0,73.0
401243008,70,72,71.0,68.0
401243009,72,75,,
401243011,69,70,75.0,68.0
401243401,70,78,,
401243419,68,69,73.0,67.0
401243420,76,70,,
