,1,2,3,4
401056252,69,72.0,69.0,75.0
401056500,63,69.0,67.0,68.0
401056504,72,71.0,,
401056506,73,71.0,,
401056511,70,71.0,70.0,
401056512,74,69.0,,
401056513,71,74.0,,
401056515,68,75.0,,
401056520,67,71.0,73.0,72.0
401056521,72,74.0,,
401056522,73,76.0,,
401056545,71,69.0,,
401056548,69,65.0,73.0,68.0
401056549,64,68.0,75.0,74.0
401056552,73,66.0,74.0,75.0
401056553,73,73.0,,
401056554,73,74.0,,
401056557,66,70.0,72.0,69.0
401056558,73,64.0,67.0,68.0
401148233,65,68.0,69.0,69.0
401148234,69,69.0,70.0,65.0
401148235,75,69.0,,
401148236,66,68.0,69.0,71.0
401148237,69,73.0,71.0,66.0
401148242,66,73.0,69.0,69.0
401148243,70,70.0,,
401155419,72,66.0,69.0,69.0
401155420,74,70.0,,
401155423,71,75.0,,
401155426,72,,,
401155459,68,70.0,70.0,67.0
401155460,73,68.0,,
401155466,69,76.0,,
401155472,66,70.0,70.0,69.0
401155473,70,68.0,,
401219498,72,70.0,,
401219794,73,70.0,,
401219795,64,68.0,72.0,72.0
401219799,76,74.0,,
401219800,79,72.0,,
401219801,68,63.0,67.0,71.0
401219802,72,70.0,,
401223849,74,68.0,69.0,78.0
401242997,71,66.0,,
401242998,69,74.0,74.0,70.0
401243000,68,72.0,75.0,70.0
401243003,71,70.0,70.0,71.0
401243006,69,70.0,78.0,73.0
401243008,70,72.0,71.0,72.0
401243009,76,72.0,,
401243401,71,68.0,70.0,70.0
401243419,68,66.0,67.0,70.0
401243420,79,70.0,,
401243433,71,68.0,68.0,70.0
