,1,2,3,4
401056501,71,65,67.0,64.0
401056502,72,74,71.0,69.0
401056507,76,70,73.0,69.0
401056516,73,70,69.0,69.0
401056520,67,69,70.0,66.0
401056521,74,73,,
401056522,72,71,73.0,70.0
401056527,66,71,69.0,70.0
401056542,67,67,68.0,72.0
401056543,68,71,72.0,67.0
401056544,70,69,69.0,70.0
401056547,68,69,67.0,74.0
401056549,71,66,72.0,71.0
401056551,65,66,68.0,65.0
401056552,63,65,70.0,74.0
401056555,70,66,,70.0
401056556,69,69,68.0,68.0
401056558,67,72,67.0,72.0
401056559,68,67,64.0,65.0
401148236,70,71,,
401148238,69,75,,
401155423,69,73,68.0,74.0
401155426,74,74,,
401155427,72,73,81.0,71.0
401155459,68,68,69.0,69.0
401155461,72,75,73.0,80.0
401155467,62,71,68.0,69.0
401155472,70,71,,
401155473,72,70,,
401219478,70,69,69.0,70.0
401219481,66,68,69.0,74.0
401219498,67,66,68.0,65.0
401219796,74,68,68.0,73.0
401219800,72,70,65.0,65.0
401219802,71,71,,
401223849,74,69,,
401242998,72,76,,
401242999,68,66,66.0,65.0
401243001,68,70,77.0,69.0
401243002,67,66,70.0,70.0
401243010,74,75,,
401243401,72,71,,
401243419,71,70,,
