,1,2,3,4
401056507,70,79,74.0,69.0
401056510,71,71,,
401056513,66,67,68.0,71.0
401056515,70,66,69.0,73.0
401056516,70,75,66.0,70.0
401056521,68,72,71.0,72.0
401056522,72,71,70.0,73.0
401056523,69,71,70.0,68.0
401056527,72,72,67.0,69.0
401056544,73,72,,
401056547,72,71,73.0,71.0
401056549,69,66,73.0,71.0
401056552,76,69,,
401056555,71,67,,71.0
401056556,75,75,,
401056557,68,75,,
401056559,65,70,68.0,69.0
401077167,69,73,69.0,69.0
401148233,69,67,69.0,70.0
401148236,70,68,,
401148239,69,69,68.0,75.0
401148241,70,69,72.0,72.0
401148244,72,73,71.0,73.0
401155420,67,73,69.0,69.0
401155421,69,66,69.0,66.0
401155423,72,72,,
401155424,67,72,71.0,68.0
401155427,74,77,,
401155459,68,66,68.0,65.0
401155460,71,71,,
401155461,78,68,70.0,76.0
401155466,69,68,,
401155467,68,70,71.0,66.0
401155472,67,74,,
401155474,65,68,67.0,72.0
401155475,72,70,70.0,72.0
401219333,72,69,74.0,77.0
401219478,74,69,71.0,78.0
401219481,70,71,73.0,70.0
401219498,69,68,73.0,65.0
401219796,74,69,65.0,68.0
401219797,70,63,68.0,68.0
401223849,79,73,,
401242998,70,77,,
401242999,71,68,69.0,65.0
401243001,71,75,,
401243002,77,72,70.0,74.0
401243005,76,70,,
401243010,74,70,73.0,72.0
401243420,70,69,71.0,73.0
401243433,70,67,68.0,72.0
