,1,2,3,4
401056252,70,69.0,69.0,76.0
401056504,72,66.0,67.0,65.0
401056505,65,68.0,71.0,69.0
401056506,73,73.0,,
401056511,69,68.0,71.0,
401056512,66,70.0,74.0,67.0
401056513,68,72.0,66.0,71.0
401056515,73,71.0,,
401056520,67,71.0,71.0,68.0
401056521,71,75.0,,
401056522,69,70.0,76.0,70.0
401056523,70,74.0,,
401056526,72,72.0,,
401056528,69,72.0,72.0,69.0
401056544,68,70.0,78.0,
401056545,65,66.0,69.0,67.0
401056548,67,67.0,68.0,69.0
401056549,72,72.0,,
401056550,73,70.0,68.0,69.0
401056551,70,69.0,64.0,72.0
401056553,71,72.0,,
401056554,67,70.0,70.0,72.0
401056555,71,70.0,,
401056557,69,69.0,72.0,71.0
401056558,71,67.0,68.0,66.0
401148233,69,67.0,67.0,67.0
401148235,69,72.0,66.0,76.0
401148236,71,70.0,,
401148237,72,69.0,70.0,67.0
401155418,72,70.0,,
401155419,68,64.0,71.0,65.0
401155420,71,75.0,,
401155421,65,72.0,70.0,68.0
401155423,74,69.0,70.0,73.0
401155426,70,72.0,72.0,71.0
401155427,71,72.0,75.0,76.0
401155459,71,67.0,67.0,68.0
401155461,75,71.0,73.0,76.0
401155466,69,,,
401155473,66,68.0,67.0,65.0
401155474,71,72.0,,
401219481,66,71.0,73.0,69.0
401219498,71,70.0,,
401219793,68,68.0,69.0,68.0
401223849,71,76.0,,
