,1,2,3,4
401056500,66,70,68.0,66.0
401056501,70,77,70.0,67.0
401056502,75,71,74.0,74.0
401056513,66,68,66.0,76.0
401056516,77,74,64.0,70.0
401056520,74,68,70.0,69.0
401056521,72,72,69.0,68.0
401056522,66,71,73.0,71.0
401056526,69,68,73.0,66.0
401056528,74,75,,
401056543,71,70,69.0,69.0
401056544,73,66,68.0,72.0
401056545,62,65,66.0,67.0
401056547,73,67,70.0,75.0
401056549,70,73,,
401056550,72,70,71.0,
401056552,74,74,,
401056553,69,72,77.0,69.0
401056554,72,72,70.0,68.0
401056556,70,72,68.0,71.0
401056557,68,66,69.0,70.0
401148233,67,67,69.0,72.0
401148234,66,66,70.0,69.0
401148235,75,74,,
401148236,68,74,,
401148238,64,69,73.0,69.0
401148239,70,68,66.0,66.0
401148241,69,71,69.0,69.0
401155419,70,72,70.0,
401155420,67,74,77.0,71.0
401155421,65,66,70.0,72.0
401155424,75,69,72.0,65.0
401155426,76,66,68.0,67.0
401155427,71,76,75.0,77.0
401155459,67,71,69.0,74.0
401155461,71,82,,
401155466,68,68,69.0,68.0
401155467,68,65,66.0,73.0
401155474,77,73,,
401155475,73,74,68.0,68.0
401219333,71,76,,
401219478,72,73,,
401219481,72,69,71.0,64.0
401219498,74,74,,
401219794,73,75,,
401219795,69,68,,
401219796,73,73,68.0,71.0
401219797,74,68,67.0,67.0
401219802,72,71,,
401223849,76,68,,
401242998,72,71,75.0,78.0
401242999,69,69,70.0,70.0
401243003,72,70,68.0,71.0
401243004,68,74,75.0,74.0
401243005,83,79,,
401243006,72,70,,
401243009,77,76,,
401243011,72,69,,
401243401,65,73,67.0,69.0
401243420,76,69,,
401243433,70,71,71.0,77.0
