,1,2,3,4
401056252,70,71.0,72.0,68.0
401056503,65,70.0,64.0,68.0
401056504,69,65.0,66.0,73.0
401056505,68,62.0,69.0,69.0
401056506,68,63.0,66.0,69.0
401056507,71,68.0,74.0,67.0
401056510,69,68.0,,
401056512,75,71.0,,
401056513,70,69.0,71.0,75.0
401056514,73,69.0,70.0,69.0
401056515,73,73.0,,
401056521,81,70.0,,
401056522,78,,,
401056528,74,73.0,,
401056543,71,68.0,78.0,71.0
401056544,71,70.0,66.0,69.0
401056545,71,76.0,,
401056548,71,75.0,,
401056549,72,70.0,,
401056550,72,73.0,,
401056552,72,71.0,73.0,73.0
401056553,70,72.0,72.0,71.0
401056554,72,77.0,,
401056557,66,65.0,75.0,73.0
401056558,75,74.0,,
401148234,68,72.0,69.0,70.0
401148235,67,68.0,67.0,69.0
401148236,70,72.0,,
401148237,69,75.0,71.0,67.0
401148242,70,69.0,70.0,68.0
401155413,73,74.0,69.0,72.0
401155419,67,71.0,68.0,67.0
401155420,71,68.0,68.0,74.0
401155422,71,66.0,71.0,79.0
401155423,75,73.0,,
401155427,74,74.0,,
401155459,66,71.0,65.0,68.0
401155460,69,68.0,71.0,66.0
401155461,75,77.0,,
401155467,71,68.0,67.0,69.0
401155474,72,68.0,,
401155475,77,74.0,70.0,74.0
401155476,68,71.0,70.0,71.0
401219333,73,78.0,,
401219478,68,74.0,68.0,72.0
401219481,71,64.0,67.0,70.0
401219795,67,72.0,,
401219796,74,69.0,74.0,68.0
401219797,70,68.0,65.0,67.0
401223849,70,72.0,75.0,78.0
401242996,71,68.0,70.0,72.0
401242998,68,79.0,,
401242999,68,74.0,,
401243002,72,70.0,72.0,77.0
401243004,77,74.0,,
401243005,75,73.0,,
401243009,77,69.0,73.0,67.0
401243010,72,68.0,77.0,72.0
401243401,77,75.0,,
401243419,72,66.0,71.0,69.0
