,1,2,3,4
401056500,69,69,66.0,68.0
401056501,74,67,67.0,69.0
401056502,76,72,72.0,78.0
401056510,66,68,69.0,67.0
401056512,71,69,71.0,65.0
401056513,67,65,71.0,72.0
401056515,72,69,69.0,74.0
401056516,69,67,68.0,70.0
401056520,68,79,,
401056522,72,70,73.0,71.0
401056527,70,74,69.0,77.0
401056528,72,74,,
401056544,67,74,70.0,71.0
401056545,66,71,,
401056547,70,66,71.0,76.0
401056549,71,72,,
401056552,73,70,74.0,74.0
401056554,77,74,,
401056556,71,72,77.0,72.0
401056557,70,68,71.0,67.0
401056559,65,68,73.0,68.0
401148233,67,64,72.0,69.0
401148234,76,66,,
401148236,69,64,69.0,65.0
401148238,67,69,68.0,69.0
401148241,70,72,74.0,76.0
401155418,70,65,66.0,68.0
401155420,70,71,74.0,73.0
401155421,76,72,,
401155423,74,72,,
401155424,73,73,69.0,64.0
401155459,69,73,,
401155461,74,72,76.0,79.0
401155466,69,68,,
401155467,72,72,71.0,68.0
401155474,69,68,66.0,69.0
401155475,75,73,68.0,69.0
401155476,68,68,73.0,71.0
401219333,71,73,78.0,72.0
401219478,67,68,69.0,69.0
401219481,71,69,70.0,70.0
401219498,69,72,,
401219795,70,63,66.0,70.0
401219796,69,74,68.0,68.0
401219797,67,69,66.0,67.0
401242996,70,70,66.0,72.0
401242997,67,66,68.0,71.0
401242998,66,79,,
401243001,69,68,71.0,67.0
401243002,68,66,77.0,67.0
401243005,71,73,65.0,72.0
401243010,74,68,73.0,70.0
401243011,62,71,74.0,66.0
