,1,2,3,4
401056252,71,70,71.0,72.0
401056503,66,73,74.0,71.0
401056506,79,71,,
401056511,70,71,66.0,69.0
401056512,71,72,,
401056514,71,68,72.0,73.0
401056517,71,73,69.0,69.0
401056520,69,68,70.0,74.0
401056523,72,74,,
401056525,72,69,70.0,72.0
401056526,69,74,68.0,67.0
401056544,71,71,,
401056548,66,66,65.0,73.0
401056549,66,69,,
401056550,71,77,,
401056551,69,69,69.0,65.0
401056555,68,68,,66.0
401056557,68,67,65.0,71.0
401056558,66,71,67.0,69.0
401148233,66,69,71.0,68.0
401148234,70,68,69.0,69.0
401148235,68,74,69.0,72.0
401148237,68,71,68.0,72.0
401148242,69,71,71.0,72.0
401148243,64,71,71.0,65.0
401155419,69,69,67.0,71.0
401155420,68,75,69.0,74.0
401155421,74,68,,
401155422,71,69,71.0,79.0
401155423,74,69,67.0,72.0
401155426,67,72,72.0,71.0
401155460,68,67,72.0,69.0
401155466,70,73,,
401155472,69,70,63.0,66.0
401155474,67,72,67.0,68.0
401219481,73,68,,
401219793,70,71,,
401219794,68,69,72.0,73.0
401219795,66,66,66.0,70.0
401219799,70,74,,
401219800,70,70,69.0,69.0
401219801,67,68,67.0,62.0
401223849,72,73,,
401242998,72,69,72.0,70.0
401242999,71,64,69.0,68.0
401243000,67,72,69.0,67.0
401243001,69,71,73.0,69.0
401243004,70,75,69.0,75.0
401243005,73,74,,
401243006,67,68,69.0,72.0
401243009,66,69,73.0,72.0
401243401,68,72,72.0,72.0
401243420,72,73,,
401243433,69,67,67.0,68.0
