,1,2,3,4
401056252,71,68,70.0,76.0
401056503,69,69,71.0,64.0
401056504,75,69,,
401056505,67,73,,
401056506,70,80,,
401056510,68,69,70.0,64.0
401056511,72,62,68.0,76.0
401056512,77,69,,
401056513,70,68,70.0,76.0
401056515,67,72,69.0,69.0
401056520,71,72,,
401056521,72,71,70.0,72.0
401056523,73,75,,
401056525,70,68,73.0,70.0
401056526,71,74,,
401056544,67,74,73.0,70.0
401056545,69,64,66.0,71.0
401056548,69,73,,
401056549,71,68,,
401056550,72,73,,
401056551,69,69,66.0,65.0
401056553,76,69,,
401056554,75,73,,
401056555,72,71,,
401056556,70,70,75.0,73.0
401056557,67,70,74.0,69.0
401056558,67,67,69.0,64.0
401148233,70,69,,
401148234,65,71,65.0,71.0
401148235,72,69,72.0,69.0
401148236,70,65,67.0,69.0
401148237,70,67,71.0,69.0
401148242,69,65,65.0,66.0
401155418,72,69,71.0,68.0
401155419,71,70,66.0,70.0
401155420,74,76,,
401155421,71,69,67.0,68.0
401155423,68,70,71.0,72.0
401155424,75,68,66.0,68.0
401155427,74,75,,
401155459,69,75,,
401155461,74,72,70.0,80.0
401155466,69,69,,
401155473,72,69,,
401155474,69,73,,
401155475,70,74,72.0,70.0
401219481,72,70,,
401219498,69,67,63.0,73.0
401219793,67,70,68.0,74.0
401219794,73,70,,
401219795,69,67,,
401219796,72,71,72.0,72.0
401219797,72,65,68.0,71.0
401219800,67,68,67.0,65.0
401219802,67,69,67.0,66.0
401223849,74,68,74.0,73.0
401242996,69,67,75.0,74.0
401242997,66,67,67.0,64.0
401242998,72,68,66.0,78.0
401242999,67,67,69.0,64.0
401243001,75,69,,
401243002,73,72,69.0,66.0
401243005,73,76,,
401243010,82,71,,
401243011,68,75,,
401243419,67,66,70.0,70.0
401243420,70,68,73.0,79.0
