,1,2,3,4
401056501,76,70.0,71.0,75.0
401056511,74,68.0,70.0,
401056512,70,73.0,,
401056513,74,71.0,,
401056515,74,,,
401056517,71,68.0,72.0,66.0
401056520,67,70.0,72.0,69.0
401056522,75,74.0,,
401056523,71,74.0,,
401056525,71,71.0,72.0,71.0
401056527,77,72.0,,
401056528,74,72.0,,
401155421,73,73.0,,
401155422,67,66.0,73.0,72.0
401155426,69,69.0,70.0,72.0
401155427,75,76.0,,
401155460,70,72.0,,
401155461,75,74.0,,
401155466,71,70.0,,
401155472,66,68.0,66.0,68.0
401155473,70,69.0,,
401219478,73,71.0,69.0,71.0
401219481,73,68.0,68.0,73.0
401219498,71,67.0,66.0,69.0
401219793,68,68.0,68.0,70.0
401219794,68,73.0,70.0,69.0
401219795,66,72.0,,
401219800,72,72.0,,
401219801,71,69.0,,
401223849,73,71.0,,
401242998,70,72.0,73.0,68.0
401242999,72,71.0,,
401243001,75,67.0,73.0,74.0
401243004,76,74.0,,
401243005,77,75.0,,
401243006,70,69.0,71.0,73.0
401243009,71,73.0,74.0,73.0
401243010,74,71.0,72.0,72.0
401243401,67,72.0,72.0,72.0
401243419,65,68.0,66.0,68.0
401243420,71,71.0,70.0,70.0
401243433,70,65.0,74.0,70.0
