,1,2,3,4
401056252,69,69,71.0,73.0
401056500,70,71,69.0,69.0
401056501,68,70,70.0,69.0
401056502,70,73,75.0,74.0
401056505,67,68,68.0,69.0
401056510,65,65,66.0,67.0
401056511,67,68,69.0,69.0
401056513,71,69,64.0,68.0
401056514,68,70,71.0,73.0
401056515,69,80,,
401056516,75,76,72.0,71.0
401056522,71,74,,
401056523,72,73,,
401056528,68,71,68.0,73.0
401056542,71,64,70.0,70.0
401056543,67,68,74.0,76.0
401056544,66,74,69.0,70.0
401056545,66,67,68.0,70.0
401056547,73,72,,
401056549,65,66,63.0,69.0
401056550,70,71,70.0,68.0
401056552,68,71,71.0,72.0
401056553,71,72,,
401056556,68,70,68.0,71.0
401056557,65,78,,
401056559,68,70,68.0,71.0
401148235,69,68,69.0,75.0
401148236,67,71,,
401148238,68,77,70.0,70.0
401148239,77,70,66.0,74.0
401148241,69,74,75.0,74.0
401148242,66,70,68.0,72.0
401148244,68,73,69.0,73.0
401155413,74,71,73.0,75.0
401155418,73,70,,
401155419,71,70,67.0,
401155421,73,71,,
401155422,67,69,73.0,74.0
401155423,69,68,71.0,69.0
401155424,71,73,67.0,70.0
401155459,71,72,,
401155461,71,67,74.0,79.0
401155466,70,66,68.0,69.0
401155467,66,67,70.0,68.0
401155473,68,70,,
401155474,68,70,67.0,72.0
401219333,75,76,,
401219478,71,72,72.0,70.0
401219481,71,70,75.0,70.0
401219498,68,70,68.0,76.0
401219793,67,71,66.0,66.0
401219794,70,71,71.0,72.0
401219795,68,64,71.0,75.0
401219801,72,74,,
401219802,78,71,,
401223849,70,72,70.0,67.0
401242997,68,68,69.0,69.0
401242999,69,73,,
401243000,74,67,71.0,67.0
401243001,73,70,,
401243004,74,70,73.0,75.0
401243005,73,75,,
401243006,70,75,,
401243011,75,73,,
401243401,71,70,,
401243420,71,79,,
401243433,75,71,,
