,1,2,3,4
401056252,73,71,,
401056503,74,73,,
401056504,69,66,69.0,71.0
401056505,72,66,67.0,71.0
401056506,69,70,67.0,67.0
401056510,69,70,,
401056511,78,70,69.0,
401056512,72,73,,
401056513,71,70,69.0,71.0
401056517,74,72,,
401056520,75,68,,
401056521,71,73,66.0,72.0
401056522,74,69,72.0,71.0
401056523,76,71,,
401056526,74,70,,
401056528,71,74,,
401148242,70,69,67.0,71.0
401148243,71,68,,
401155418,70,72,,
401155421,77,70,,
401155422,72,72,70.0,
401155426,72,73,,
401155459,68,70,68.0,75.0
401155460,67,65,70.0,73.0
401155472,66,71,69.0,69.0
401155473,66,69,68.0,71.0
401219480,71,73,,
401219794,68,70,75.0,72.0
401219800,73,68,74.0,66.0
401219801,70,67,67.0,66.0
401219802,69,70,68.0,72.0
401223849,73,70,,
401242997,65,65,65.0,65.0
401242999,70,74,,
401243000,69,73,70.0,67.0
401243004,71,70,69.0,74.0
401243005,72,65,71.0,79.0
401243006,68,71,67.0,72.0
401243009,72,72,67.0,68.0
401243011,70,67,68.0,67.0
401243401,68,70,70.0,68.0
401243433,70,74,,
