,1,2,3,4
401056252,69,74.0,,
401056503,74,76.0,,
401056504,69,69.0,68.0,71.0
401056505,70,,,
401056511,69,71.0,71.0,
401056512,66,71.0,74.0,73.0
401056513,71,66.0,67.0,69.0
401056514,69,71.0,67.0,70.0
401056515,69,75.0,,
401056521,79,78.0,,
401056523,72,71.0,74.0,76.0
401056525,70,68.0,64.0,69.0
401056526,68,76.0,,
401056528,71,73.0,,
401056544,76,,,
401056545,67,72.0,,
401056548,68,66.0,66.0,67.0
401056549,69,74.0,,
401056550,73,75.0,,
401056551,69,74.0,,
401056553,72,70.0,71.0,70.0
401056555,72,74.0,,
401056557,73,,,
401056558,72,72.0,,
401148235,76,78.0,,
401148236,67,68.0,67.0,71.0
401148237,73,70.0,72.0,74.0
401148242,66,70.0,70.0,67.0
401148243,71,68.0,,
401155419,70,70.0,70.0,
401155420,76,70.0,,
401155421,72,70.0,,
401155422,76,70.0,75.0,
401155423,71,74.0,,
401155426,72,76.0,,
401155460,66,71.0,69.0,70.0
401155466,66,72.0,,
401155472,72,,,
401155473,74,,,
401219480,72,73.0,,
401219498,68,69.0,63.0,71.0
401219793,70,70.0,,
401219794,70,75.0,,
401223849,71,71.0,71.0,72.0
