,1,2,3,4
401056543,67,73,72.0,71.0
401056544,71,70,72.0,68.0
401056545,66,67,70.0,65.0
401056548,70,66,65.0,66.0
401056549,66,67,75.0,68.0
401056555,70,66,,67.0
401056556,71,73,72.0,69.0
401056558,68,66,64.0,66.0
401148235,72,64,70.0,71.0
401148236,67,66,67.0,72.0
401148238,69,73,65.0,75.0
401148239,71,64,69.0,70.0
401155413,71,71,70.0,71.0
401155418,65,70,68.0,72.0
401155420,70,69,74.0,69.0
401155421,69,67,68.0,71.0
401155423,73,67,68.0,73.0
401155424,72,70,72.0,69.0
401155427,70,71,75.0,73.0
401155459,64,67,67.0,67.0
401155461,76,70,73.0,77.0
401155466,72,71,,
401155467,70,71,67.0,66.0
401155474,71,72,,
401155475,76,73,68.0,68.0
401155476,71,65,67.0,69.0
401219333,76,71,,
401219478,70,74,70.0,74.0
401219481,69,69,65.0,64.0
401219498,68,69,68.0,74.0
401219795,69,67,,
401219796,71,65,71.0,73.0
401219797,71,65,72.0,71.0
401223849,65,66,72.0,66.0
401242996,69,65,65.0,73.0
401242997,66,65,67.0,64.0
401243001,73,69,70.0,73.0
401243002,70,64,67.0,69.0
401243005,71,73,76.0,66.0
401243010,73,69,75.0,70.0
401243011,65,68,67.0,72.0
