,1,2,3,4
401056252,72,69,,
401056503,71,74,,
401056506,68,66,67.0,68.0
401056510,70,69,,
401056511,69,74,70.0,
401056513,67,68,71.0,72.0
401056514,73,74,79.0,
401056517,68,73,70.0,71.0
401056523,75,77,,
401056525,72,70,66.0,69.0
401056546,69,69,68.0,71.0
401056548,69,73,,
401056550,74,73,,
401056551,69,73,,
401056555,66,75,,
401056558,70,67,69.0,71.0
401148233,67,69,70.0,70.0
401148234,68,73,67.0,70.0
401148235,71,70,72.0,72.0
401148237,72,74,,
401148240,67,68,68.0,66.0
401148242,69,70,71.0,68.0
401148243,66,69,69.0,69.0
401155418,72,72,,
401155419,71,68,65.0,71.0
401155422,75,73,75.0,
401155425,70,73,,
401155426,74,71,,
401155460,71,70,,
401155466,72,72,,
401155472,69,74,,
401155473,72,68,,
401219480,67,74,69.0,71.0
401219498,75,69,,
401219793,69,69,66.0,69.0
401219794,70,74,,
401219799,68,72,67.0,66.0
401219800,73,77,,
401219801,74,68,,
401223849,71,74,,
401242997,65,72,,
401242998,74,77,,
401243000,73,74,,
401243003,74,71,,
401243006,73,70,,
401243008,72,72,72.0,66.0
401243009,73,77,,
401243401,68,71,75.0,73.0
401243419,70,69,,
401243420,71,78,,
401243433,70,73,,
