,1,2,3,4
401056503,74,77,,
401056506,72,69,,
401056514,75,70,75.0,
401056517,69,75,71.0,71.0
401056525,69,74,,
401056546,79,63,,
401056548,73,72,,
401056551,71,68,65.0,71.0
401056554,71,74,71.0,71.0
401056555,71,71,,
401056558,72,68,,
401148233,68,72,,
401148234,71,71,,
401148237,71,75,,
401148240,70,74,,
401148243,69,67,67.0,72.0
401155422,72,74,73.0,
401155425,71,65,69.0,76.0
401155461,82,82,,
401155472,73,71,,
401219480,70,72,,
401243003,68,70,72.0,74.0
401243008,73,72,74.0,66.0
401243419,75,71,,
