,1,2,3,4
401056503,70,73,74.0,74.0
401056504,72,68,,
401056512,63,73,67.0,75.0
401056514,68,75,71.0,
401056551,69,66,66.0,68.0
401056553,75,69,,
401148233,65,71,68.0,69.0
401148234,73,71,,
401148237,74,75,,
401148240,71,71,,
401148243,68,70,70.0,71.0
401155418,73,75,,
401155419,68,70,74.0,
401155420,74,72,,
401155422,68,72,74.0,
401155425,69,70,67.0,71.0
401155426,74,76,,
401155459,71,70,,
401155460,71,71,,
401155472,70,68,67.0,66.0
401155473,71,67,,
401219480,70,74,,
401219793,67,66,69.0,71.0
401219794,71,70,67.0,70.0
401219799,64,74,68.0,69.0
401219801,67,71,68.0,64.0
401219802,71,69,71.0,68.0
401242997,72,69,,
401242998,70,71,73.0,72.0
401243000,69,72,71.0,68.0
401243001,71,72,,
401243004,71,73,65.0,81.0
401243005,71,67,68.0,78.0
401243006,72,73,,
401243009,74,72,72.0,69.0
401243011,70,69,72.0,66.0
401243401,67,68,69.0,69.0
401243419,71,71,,
401243433,72,70,,
