,1,2,3,4
401056252,67,71,71.0,72.0
401056503,72,71,72.0,70.0
401056510,67,69,67.0,71.0
401056511,72,67,64.0,70.0
401056512,72,71,,
401056514,73,72,73.0,
401056515,68,72,72.0,68.0
401056520,72,73,,
401056523,72,71,67.0,75.0
401056525,71,67,72.0,67.0
401056526,71,72,69.0,71.0
401056543,72,69,71.0,72.0
401056544,69,67,75.0,69.0
401056545,71,68,,
401056547,68,69,70.0,78.0
401056548,66,68,65.0,64.0
401056549,70,70,,
401056550,67,74,70.0,69.0
401056551,68,72,69.0,70.0
401056552,77,68,,
401056555,67,68,,70.0
401056557,66,70,72.0,71.0
401056558,66,69,66.0,73.0
401148234,71,69,67.0,66.0
401148235,70,65,75.0,66.0
401148236,67,72,,
401148238,70,70,71.0,73.0
401148239,71,69,67.0,67.0
401148242,66,69,71.0,65.0
401148243,68,67,68.0,71.0
401155413,72,77,73.0,75.0
401155418,74,70,,
401155420,76,66,77.0,73.0
401155421,71,70,72.0,74.0
401155423,74,70,,
401155426,74,69,72.0,74.0
401155427,71,72,74.0,75.0
401155459,70,72,,
401155461,73,68,74.0,76.0
401155466,71,70,,
401155472,68,67,70.0,66.0
401155473,69,65,66.0,67.0
401155474,69,75,,
401155475,72,75,69.0,71.0
401219478,65,73,67.0,72.0
401219481,70,67,70.0,71.0
401219498,65,69,71.0,62.0
401219794,72,74,,
401219795,67,64,70.0,70.0
401219796,74,72,74.0,75.0
401219797,66,65,70.0,70.0
401219800,70,74,,
401219801,76,74,,
401223849,73,73,,
401242998,70,73,71.0,75.0
401242999,71,69,,
401243001,75,70,,
401243004,79,70,,
401243005,71,68,76.0,68.0
401243006,75,69,,
401243010,76,74,,
401243011,71,67,71.0,74.0
