,1,2,3,4
401056252,70,69.0,73.0,75.0
401056503,69,73.0,74.0,73.0
401056505,69,72.0,,
401056506,70,68.0,68.0,66.0
401056510,70,67.0,69.0,69.0
401056511,73,68.0,67.0,
401056512,67,76.0,,
401056514,67,71.0,,
401056517,72,72.0,70.0,68.0
401056525,78,72.0,,
401056526,73,67.0,70.0,70.0
401056545,67,64.0,66.0,68.0
401056546,71,68.0,70.0,66.0
401056548,74,70.0,,
401056549,70,71.0,,
401056550,70,69.0,80.0,77.0
401056551,75,73.0,,
401056555,71,70.0,,
401056557,75,71.0,,
401056558,68,68.0,68.0,65.0
401148233,67,70.0,,
401148234,72,66.0,69.0,70.0
401148235,71,70.0,71.0,74.0
401148236,69,67.0,68.0,70.0
401148240,67,69.0,66.0,65.0
401148242,71,72.0,,
401148243,68,63.0,69.0,72.0
401155418,74,77.0,,
401155419,69,70.0,67.0,72.0
401155420,75,70.0,,
401155422,73,66.0,77.0,
401155425,70,70.0,70.0,72.0
401155426,72,69.0,79.0,71.0
401155460,70,68.0,66.0,72.0
401155466,71,73.0,,
401155472,70,74.0,,
401155473,74,67.0,,
401219480,70,69.0,70.0,73.0
401219793,77,69.0,,
401219794,71,71.0,,
401219795,66,71.0,,
401219799,72,76.0,,
401219800,70,69.0,69.0,71.0
401219801,78,71.0,,
401219802,76,69.0,,
401223849,70,76.0,,
401242997,71,73.0,,
401242998,71,,,
401243000,74,70.0,,
401243003,66,71.0,71.0,69.0
401243008,69,74.0,77.0,71.0
401243401,70,72.0,,
401243419,70,75.0,,
