,1,2,3,4
401056502,76,75,75.0,69.0
401056507,73,71,73.0,74.0
401056516,71,67,70.0,70.0
401056521,69,70,73.0,64.0
401056522,72,70,72.0,72.0
401056527,70,67,66.0,74.0
401056528,74,72,,
401056543,72,73,68.0,73.0
401056544,69,72,75.0,74.0
401056547,74,69,72.0,66.0
401056549,69,69,71.0,71.0
401056552,72,68,73.0,75.0
401056553,71,70,70.0,73.0
401056556,68,72,71.0,70.0
401148235,66,71,72.0,71.0
401148241,74,67,71.0,69.0
401155419,73,71,72.0,
401155420,79,67,,
401155423,75,75,,
401155424,72,74,71.0,70.0
401219478,72,78,,
401219795,70,68,,
401219800,70,68,71.0,66.0
401242998,72,71,72.0,66.0
401243000,69,70,76.0,73.0
401243001,68,73,70.0,67.0
401243004,78,74,,
401243005,76,71,,
401243010,74,73,69.0,81.0
401243401,69,66,69.0,70.0
401243420,72,74,,
