,1,2,3,4
401056500,69,61,67.0,71.0
401056501,73,67,68.0,63.0
401056504,69,67,71.0,63.0
401056505,65,73,72.0,65.0
401056507,67,67,68.0,68.0
401056510,71,66,,
401056512,71,70,69.0,66.0
401056513,68,67,66.0,72.0
401056516,71,71,67.0,69.0
401056520,72,70,66.0,73.0
401056522,72,69,73.0,68.0
401056523,74,71,,
401056527,70,71,74.0,70.0
401056542,68,73,69.0,71.0
401056543,70,73,64.0,73.0
401056544,73,68,71.0,69.0
401056547,74,71,,
401056550,73,70,74.0,
401056552,70,70,73.0,68.0
401056554,69,71,74.0,75.0
401056556,68,65,69.0,69.0
401056557,73,69,,
401056559,73,71,70.0,72.0
401077167,72,66,67.0,72.0
401148236,69,65,71.0,69.0
401148238,71,71,65.0,66.0
401148239,64,66,68.0,70.0
401148244,66,69,68.0,73.0
401155413,73,69,69.0,72.0
401155420,75,70,,
401155421,70,67,69.0,72.0
401155424,70,69,65.0,71.0
401155426,70,67,74.0,67.0
401155459,65,67,66.0,70.0
401155461,68,70,76.0,77.0
401155466,70,68,,
401155467,71,69,73.0,69.0
401155474,69,73,,
401155475,75,70,74.0,68.0
401219333,74,74,,
401219478,72,73,,
401219481,67,72,73.0,70.0
401219498,69,68,71.0,70.0
401219796,73,75,78.0,71.0
401219802,72,72,,
401223849,73,68,66.0,69.0
401242998,66,75,77.0,70.0
401242999,76,67,,
401243001,73,73,,
401243002,71,69,71.0,78.0
401243005,70,76,,
401243009,71,72,67.0,69.0
401243010,73,72,75.0,72.0
401243401,70,68,68.0,70.0
401243420,67,69,70.0,71.0
401243433,77,71,,
