,1,2,3,4
401056252,71,69.0,70.0,73.0
401056503,76,,,
401056504,73,73.0,,
401056505,71,,,
401056511,77,77.0,73.0,
401056512,68,72.0,71.0,75.0
401056513,68,72.0,70.0,73.0
401056514,70,79.0,65.0,
401056515,70,74.0,,
401056520,71,68.0,71.0,75.0
401056522,72,78.0,,
401056523,72,75.0,,
401056525,69,69.0,70.0,68.0
401148233,66,67.0,69.0,72.0
401148234,71,77.0,,
401148235,72,74.0,,
401148236,71,74.0,,
401148237,79,,,
401155419,64,71.0,69.0,66.0
401155420,70,73.0,72.0,72.0
401155421,70,68.0,73.0,72.0
401155425,73,70.0,,
401155426,73,68.0,70.0,76.0
401155460,74,67.0,,
401155466,68,73.0,,
401155473,73,68.0,,
401219480,77,73.0,,
401219793,73,67.0,,
401219794,70,71.0,73.0,71.0
401219800,85,72.0,,
401223849,74,,,
401242997,67,75.0,,
401242998,69,73.0,81.0,75.0
401242999,70,68.0,68.0,70.0
401243000,73,75.0,,
401243003,71,66.0,65.0,70.0
401243006,76,75.0,,
401243008,71,72.0,77.0,75.0
401243401,69,75.0,,
401243419,75,69.0,,
401243420,73,77.0,,
401243433,75,71.0,,
