,1,2,3,4
401056252,70,77,,
401056503,73,71,,
401056506,69,68,69.0,65.0
401056510,70,67,68.0,68.0
401056511,70,70,68.0,
401056512,70,67,68.0,75.0
401056514,71,69,71.0,71.0
401056517,72,76,,
401056520,67,74,70.0,76.0
401056523,69,73,74.0,71.0
401056525,71,71,71.0,72.0
401056526,68,70,70.0,70.0
401056545,71,65,,
401056546,70,64,76.0,73.0
401056548,71,71,,
401056549,69,65,74.0,70.0
401056550,71,72,74.0,68.0
401056551,74,69,,
401056555,67,67,,67.0
401056557,70,71,,
401056558,69,68,67.0,68.0
401148233,67,67,72.0,68.0
401148234,78,75,,
401148235,71,70,72.0,70.0
401148237,74,72,,
401148240,66,70,67.0,63.0
401148242,73,75,,
401148243,67,68,67.0,71.0
401155418,74,72,,
401155419,65,71,66.0,70.0
401155420,72,76,,
401155422,74,77,74.0,
401155425,74,75,,
401155426,73,78,,
401155427,76,78,,
401155460,71,72,,
401155466,69,67,66.0,70.0
401155472,69,70,65.0,69.0
401155473,65,71,68.0,69.0
401219480,70,71,72.0,66.0
401219793,71,70,,
401219794,69,71,69.0,74.0
401219799,68,72,69.0,67.0
401219801,73,68,,
401219802,71,69,70.0,67.0
401223849,71,74,,
401242997,72,67,,
401242998,73,71,,
401243000,70,70,72.0,72.0
401243006,75,74,,
401243008,72,77,,
401243009,76,74,,
401243401,69,71,70.0,76.0
401243419,67,67,70.0,68.0
401243420,72,71,77.0,67.0
401243433,66,69,71.0,71.0
