,1,2,3,4
401056252,70,69,68.0,72.0
401056503,70,79,,
401056504,65,67,69.0,70.0
401056505,65,69,68.0,65.0
401056506,68,70,66.0,66.0
401056511,68,67,68.0,69.0
401056512,70,72,,
401056513,64,71,68.0,71.0
401056515,75,70,,
401056520,72,69,67.0,74.0
401056521,79,72,,
401056522,74,76,,
401056523,69,74,75.0,72.0
401056526,70,66,73.0,71.0
401056528,71,73,,
401056543,72,74,71.0,72.0
401056544,67,67,68.0,68.0
401056545,66,66,71.0,70.0
401056548,67,65,76.0,68.0
401056549,69,66,72.0,67.0
401056550,77,70,,
401056552,71,67,67.0,81.0
401056554,74,75,,
401056555,68,70,,67.0
401056557,71,71,,
401148233,65,66,72.0,68.0
401148235,72,69,67.0,71.0
401148236,68,67,66.0,72.0
401148238,71,71,68.0,70.0
401148239,72,70,69.0,64.0
401148242,68,69,73.0,72.0
401155419,69,72,68.0,
401155420,74,70,,
401155421,71,71,,
401155422,67,76,71.0,
401155423,67,68,69.0,74.0
401155426,69,70,76.0,70.0
401155427,70,74,76.0,75.0
401155459,63,66,70.0,72.0
401155460,70,67,70.0,69.0
401155461,77,72,,
401155466,66,69,69.0,66.0
401155473,62,69,67.0,65.0
401155474,71,69,,
401219481,72,66,69.0,70.0
401219498,70,71,,
401219793,67,71,71.0,66.0
401219795,63,68,66.0,70.0
401219799,69,80,,
401219800,67,71,72.0,65.0
401219801,75,68,,
401219802,70,71,75.0,73.0
401223849,71,78,,
401242998,78,72,,
401242999,68,68,67.0,68.0
401243000,69,75,,
401243001,70,72,77.0,70.0
401243004,72,72,70.0,73.0
401243005,70,73,71.0,76.0
401243006,71,65,71.0,70.0
401243009,73,74,,
401243011,66,68,69.0,66.0
401243420,72,73,,
