,1,2,3,4
401056506,71,66,72.0,65.0
401148233,69,71,,
401148234,74,74,,
401148235,72,73,,
401148236,69,71,,
401148237,68,76,69.0,72.0
401148240,68,69,70.0,67.0
401148242,67,71,74.0,66.0
401148243,67,65,67.0,68.0
401155418,71,66,68.0,68.0
401155419,75,66,66.0,74.0
401155420,73,76,,
401155422,69,73,70.0,71.0
401155425,66,75,69.0,70.0
401155426,75,81,,
401155427,78,72,,
401155459,70,69,,
401155460,67,70,69.0,68.0
401155461,74,66,71.0,74.0
401155466,68,68,68.0,68.0
401155472,70,70,67.0,65.0
401155473,67,68,71.0,69.0
401155474,71,71,,
401219480,75,69,,
401219793,75,71,,
401219794,69,70,69.0,65.0
401219795,67,65,74.0,70.0
401219799,70,75,,
401219800,75,69,,
401219802,71,71,,
401223849,70,69,71.0,72.0
401242997,65,73,,
401242998,73,69,68.0,69.0
401242999,68,71,67.0,67.0
401243000,64,70,74.0,73.0
401243001,72,71,,
401243004,71,75,74.0,78.0
401243005,80,74,,
401243006,71,72,,
401243009,78,78,,
401243011,72,74,,
401243401,71,68,70.0,66.0
401243420,80,76,,
401243433,69,69,72.0,72.0
