,1,2,3,4
401056516,72,73.0,71.0,72.0
401056521,77,66.0,69.0,71.0
401056522,75,70.0,,
401056523,70,73.0,69.0,71.0
401056527,74,72.0,67.0,73.0
401056547,70,69.0,68.0,76.0
401056550,74,67.0,70.0,70.0
401056551,67,69.0,66.0,69.0
401056552,74,68.0,75.0,71.0
401056554,70,70.0,75.0,71.0
401056555,66,66.0,,70.0
401056556,68,71.0,70.0,70.0
401056559,69,67.0,72.0,69.0
401077167,68,66.0,69.0,71.0
401148237,72,74.0,,
401148241,70,70.0,70.0,70.0
401148244,69,67.0,68.0,66.0
401155427,77,72.0,,
401155467,69,69.0,70.0,69.0
401219333,74,77.0,,
401219478,71,74.0,,
401219480,70,69.0,69.0,71.0
401219481,70,72.0,,
401219794,70,74.0,,
401219799,69,,,
401219800,72,75.0,,
401219801,69,68.0,71.0,63.0
401243004,73,75.0,,
401243005,85,74.0,,
401243006,78,75.0,,
401243009,75,73.0,,
401243010,73,71.0,71.0,76.0
401243433,71,70.0,72.0,73.0
