,1,2,3,4
401056252,70,68.0,70.0,72.0
401056503,72,71.0,69.0,74.0
401056504,73,72.0,,
401056505,68,73.0,,
401056506,71,67.0,67.0,64.0
401056511,76,68.0,68.0,
401056512,70,73.0,,
401056513,70,68.0,69.0,71.0
401056514,71,75.0,70.0,
401056515,73,76.0,,
401056520,75,73.0,,
401056521,76,69.0,74.0,68.0
401056523,72,75.0,,
401056525,74,68.0,72.0,69.0
401056526,70,71.0,,
401056545,74,66.0,,
401056546,70,70.0,69.0,68.0
401056548,69,77.0,,
401056549,70,74.0,,
401056557,72,73.0,,
401056558,72,68.0,,
401148237,74,79.0,,
401155419,72,77.0,77.0,
401155420,75,,,
401155422,74,77.0,74.0,
401155466,67,71.0,,
401155472,73,75.0,,
401219793,73,74.0,,
401219794,72,78.0,,
401219795,67,68.0,69.0,72.0
401219799,66,75.0,74.0,77.0
401219800,77,73.0,,
401219801,69,71.0,,
401219802,68,69.0,73.0,74.0
401242997,73,69.0,,
401242998,76,71.0,,
401242999,74,74.0,,
401243000,67,77.0,,
401243003,75,73.0,,
401243006,77,72.0,,
401243008,80,75.0,,
401243009,74,75.0,,
401243011,73,69.0,,
401243401,76,77.0,,
401243419,71,70.0,,
401243420,68,75.0,69.0,76.0
401243433,71,76.0,,
