,1,2,3,4
401056501,70,69,68.0,71.0
401056502,69,71,74.0,74.0
401056507,71,69,73.0,71.0
401056510,69,69,66.0,68.0
401056516,68,68,69.0,68.0
401056521,73,68,73.0,70.0
401056522,69,66,75.0,76.0
401056527,68,71,68.0,73.0
401056528,70,67,67.0,73.0
401056543,70,70,71.0,69.0
401056544,68,66,71.0,68.0
401056547,75,74,,
401056552,72,74,,
401056553,73,69,72.0,75.0
401056556,73,73,,
401056559,66,69,67.0,69.0
401148238,69,72,66.0,71.0
401148239,71,71,64.0,66.0
401148241,73,74,,
401155426,70,70,72.0,70.0
401155427,69,77,74.0,74.0
401155459,66,70,67.0,70.0
401155461,76,73,,
401155466,67,69,73.0,69.0
401155467,73,69,72.0,73.0
401155474,66,67,73.0,69.0
401219333,75,77,,
401219478,72,71,71.0,70.0
401219481,73,68,66.0,69.0
401219498,64,69,67.0,68.0
401219796,69,70,73.0,68.0
401219801,69,69,68.0,70.0
401223849,68,69,69.0,70.0
401243003,71,70,69.0,71.0
401243004,70,73,70.0,75.0
401243005,77,71,,
401243006,71,72,,
401243010,74,73,72.0,70.0
401243011,69,68,73.0,70.0
401243420,72,74,,
401243433,69,71,69.0,70.0
