,1,2,3,4
401056252,66,70,73.0,75.0
401056503,71,68,72.0,74.0
401056504,69,71,,
401056505,65,69,68.0,69.0
401056506,74,69,,
401056510,68,66,69.0,66.0
401056511,68,68,64.0,69.0
401056512,72,68,69.0,73.0
401056513,65,74,68.0,70.0
401056515,67,70,70.0,73.0
401056520,73,68,69.0,71.0
401056521,71,72,73.0,78.0
401056522,68,69,73.0,70.0
401056523,73,73,,
401056526,67,74,74.0,74.0
401056528,71,71,67.0,66.0
401056543,68,74,66.0,68.0
401056544,67,70,70.0,75.0
401056545,65,65,66.0,62.0
401056546,62,73,69.0,70.0
401056548,71,71,,
401056549,69,72,,
401056550,74,73,,
401056551,69,72,,
401056552,77,67,71.0,75.0
401056553,74,71,,
401056554,72,73,71.0,73.0
401056557,70,63,66.0,73.0
401148234,64,70,70.0,70.0
401148236,70,71,,
401148239,70,65,72.0,68.0
401148241,69,73,72.0,68.0
401148242,68,71,74.0,65.0
401148243,66,70,68.0,66.0
401155413,70,71,71.0,73.0
401155418,72,71,,
401155419,67,69,69.0,70.0
401155421,70,68,71.0,68.0
401155423,69,72,70.0,71.0
401155426,67,69,73.0,74.0
401155427,84,71,,
401155459,68,66,67.0,68.0
401155460,69,72,,
401155461,76,74,,
401155466,70,69,,
401155467,70,68,70.0,68.0
401155473,74,66,,
401155474,71,67,66.0,71.0
401155475,72,77,73.0,71.0
401219333,71,82,,
401219478,73,75,,
401219481,67,74,75.0,70.0
401219498,67,69,66.0,65.0
401219794,66,67,69.0,70.0
401219795,67,66,66.0,71.0
401219796,78,70,71.0,69.0
401219800,70,67,70.0,69.0
401219801,71,69,,
401242997,65,74,,
401242998,69,74,71.0,69.0
401242999,68,66,67.0,69.0
401243001,74,68,72.0,71.0
401243004,76,74,,
401243005,76,68,69.0,70.0
401243006,74,73,,
401243011,74,68,,
401243401,70,80,,
401243420,72,70,71.0,71.0
401243433,68,73,70.0,72.0
