,1,2,3,4
401056501,73,71.0,65.0,67.0
401056502,71,70.0,69.0,74.0
401056507,69,71.0,75.0,66.0
401056512,67,71.0,69.0,67.0
401056514,65,69.0,72.0,68.0
401056522,70,66.0,68.0,72.0
401056523,74,71.0,,
401056527,70,67.0,73.0,67.0
401056543,70,71.0,69.0,74.0
401056544,72,70.0,,
401056547,70,74.0,,
401056549,70,63.0,68.0,69.0
401056550,68,69.0,74.0,69.0
401056552,69,74.0,69.0,72.0
401056554,75,74.0,,
401056556,70,73.0,70.0,69.0
401056558,69,70.0,69.0,71.0
401056559,72,69.0,68.0,70.0
401077167,71,72.0,70.0,70.0
401148238,66,73.0,71.0,71.0
401148239,73,66.0,67.0,68.0
401148242,70,77.0,,
401155420,73,67.0,72.0,69.0
401155422,67,64.0,70.0,75.0
401155423,68,76.0,,
401155427,74,,,
401155459,70,72.0,,
401155460,70,70.0,,
401155461,73,66.0,72.0,73.0
401155466,67,69.0,69.0,68.0
401155467,68,67.0,69.0,67.0
401155474,70,75.0,,
401155475,76,74.0,76.0,68.0
401219333,72,74.0,76.0,72.0
401219478,70,78.0,,
401219481,65,69.0,70.0,66.0
401219498,71,69.0,,
401219795,68,72.0,,
401219796,70,70.0,66.0,
401219797,68,71.0,69.0,74.0
401219800,67,68.0,67.0,71.0
401219801,69,67.0,67.0,65.0
401223849,69,71.0,70.0,67.0
401242998,76,72.0,,
401242999,71,70.0,,
401243000,69,69.0,68.0,69.0
401243002,71,69.0,69.0,72.0
401243004,70,72.0,68.0,79.0
401243005,70,71.0,71.0,73.0
401243010,77,76.0,,
401243419,70,69.0,,
401243420,72,73.0,,
