,1,2,3,4
401056500,73,69.0,71.0,66.0
401056501,77,73.0,72.0,68.0
401056504,71,67.0,69.0,72.0
401056511,71,65.0,66.0,70.0
401056512,71,69.0,69.0,69.0
401056513,73,66.0,65.0,72.0
401056515,69,73.0,68.0,72.0
401056520,69,71.0,68.0,68.0
401056521,70,73.0,68.0,70.0
401056522,73,68.0,74.0,70.0
401056523,69,71.0,66.0,71.0
401056526,70,73.0,65.0,68.0
401056528,69,68.0,72.0,69.0
401056542,71,67.0,72.0,67.0
401056543,65,73.0,70.0,69.0
401056544,68,70.0,70.0,66.0
401056545,70,64.0,64.0,66.0
401056547,74,69.0,74.0,68.0
401056549,75,74.0,,
401056550,70,70.0,74.0,78.0
401056552,73,70.0,71.0,70.0
401056554,71,73.0,72.0,75.0
401056557,66,71.0,68.0,71.0
401148233,69,68.0,,
401148236,70,67.0,73.0,67.0
401148239,74,70.0,70.0,74.0
401148241,69,70.0,66.0,71.0
401155419,73,69.0,70.0,
401155420,69,74.0,69.0,70.0
401155421,73,69.0,,
401155423,72,73.0,,
401155424,73,70.0,73.0,70.0
401155427,71,75.0,72.0,74.0
401155459,67,70.0,65.0,64.0
401155461,79,,,
401155466,70,69.0,,
401155467,69,68.0,71.0,70.0
401155473,69,63.0,67.0,67.0
401155474,68,68.0,70.0,65.0
401155475,74,71.0,69.0,66.0
401219333,68,71.0,77.0,72.0
401219478,71,77.0,,
401219481,69,74.0,,
401219498,69,73.0,,
401219795,68,68.0,,
401219796,70,66.0,68.0,64.0
401219797,69,65.0,69.0,70.0
401219801,75,67.0,,
401223849,74,78.0,,
401242996,71,66.0,70.0,76.0
401242997,62,71.0,66.0,72.0
401242998,70,69.0,74.0,71.0
401243001,67,68.0,74.0,74.0
401243002,70,69.0,69.0,69.0
401243004,68,73.0,69.0,74.0
401243005,70,72.0,71.0,67.0
401243010,71,76.0,71.0,77.0
401243433,67,69.0,70.0,71.0
