,1,2,3,4
401056252,70,72,,
401056503,72,74,,
401056505,68,77,,
401056506,71,74,,
401056510,69,68,69.0,67.0
401056511,68,67,73.0,
401056512,70,73,,
401056513,76,75,,
401056520,72,71,,
401056523,73,74,,
401056525,69,70,76.0,70.0
401056526,70,78,,
401056528,75,69,,
401056546,65,65,62.0,70.0
401056548,70,71,,
401056549,67,70,,
401056550,73,72,,
401056551,73,68,,
401056555,71,68,,
401056557,72,72,,
401148233,73,67,,
401148234,74,74,,
401148236,76,70,,
401148237,73,71,77.0,76.0
401148242,70,71,73.0,73.0
401148243,72,65,67.0,70.0
401155413,73,73,69.0,78.0
401155418,71,80,,
401155420,76,81,,
401155422,67,73,70.0,77.0
401155423,73,73,,
401155426,74,70,,
401155427,73,75,,
401155459,72,68,,
401155461,73,77,,
401155473,66,69,61.0,63.0
401155474,75,70,,
401155475,71,72,73.0,72.0
401219333,73,77,,
401219481,71,69,72.0,75.0
401219498,68,69,69.0,66.0
401219794,70,74,,
401219796,78,69,72.0,75.0
401219797,70,65,72.0,72.0
401219801,68,67,69.0,68.0
401223849,75,75,,
401242997,64,69,69.0,66.0
401243000,68,81,,
401243001,73,73,,
401243004,75,74,,
401243005,81,77,,
401243006,70,71,69.0,73.0
401243010,76,70,76.0,76.0
401243011,75,68,,
401243401,73,70,,
401243433,79,72,,
