,1,2,3,4
401056252,70,67,72.0,72.0
401056503,72,70,71.0,68.0
401056506,70,67,67.0,70.0
401056510,68,69,70.0,71.0
401056511,69,67,72.0,
401056514,67,73,71.0,74.0
401056517,69,69,69.0,69.0
401056520,73,72,,
401056521,71,72,72.0,71.0
401056525,70,73,,
401056545,63,69,67.0,66.0
401056546,69,71,,
401056548,68,68,73.0,65.0
401056550,79,69,,
401056551,72,68,67.0,68.0
401056555,71,74,,
401056558,69,69,64.0,69.0
401148233,70,66,71.0,71.0
401148234,74,70,,
401148237,71,75,,
401148240,73,72,,
401148243,67,74,,
401155422,70,74,71.0,
401155425,71,71,68.0,69.0
401155460,67,71,70.0,72.0
401155472,71,72,,
401219480,70,74,,
401219793,72,72,,
401219799,66,74,69.0,73.0
401219802,73,79,,
401243000,77,70,,
401243003,69,76,,
401243008,71,76,,
401243419,67,71,67.0,71.0
401243420,73,68,72.0,76.0
