,1,2,3,4
401056502,73,76,69.0,71.0
401056507,70,71,69.0,69.0
401056511,66,66,68.0,67.0
401056512,62,72,68.0,72.0
401056513,67,68,70.0,69.0
401056515,67,70,69.0,71.0
401056516,72,72,72.0,69.0
401056522,69,68,64.0,76.0
401056523,71,68,72.0,68.0
401056527,69,70,71.0,68.0
401056542,68,72,68.0,72.0
401056543,68,69,66.0,69.0
401056544,64,68,69.0,69.0
401056547,68,70,68.0,75.0
401056552,70,75,,
401056553,75,71,,
401056556,69,70,70.0,68.0
401056559,62,71,68.0,69.0
401077167,71,63,69.0,65.0
401148244,70,66,69.0,66.0
401155413,69,73,70.0,72.0
401155420,68,71,65.0,70.0
401155421,67,68,68.0,70.0
401155423,70,68,69.0,72.0
401155424,72,69,61.0,67.0
401155459,69,71,,
401155461,69,67,68.0,75.0
401155466,66,68,66.0,71.0
401155467,70,74,71.0,66.0
401155474,69,67,67.0,65.0
401155475,75,71,66.0,64.0
401155476,65,74,66.0,66.0
401219333,69,72,76.0,73.0
401219478,69,66,72.0,71.0
401219481,70,69,68.0,66.0
401219498,71,67,66.0,68.0
401219796,67,73,69.0,72.0
401219797,68,67,63.0,68.0
401223849,72,70,75.0,64.0
401242996,70,66,69.0,67.0
401242998,69,67,72.0,72.0
401242999,68,69,66.0,68.0
401243001,70,69,72.0,66.0
401243002,68,76,72.0,68.0
401243005,72,68,67.0,73.0
401243010,72,72,72.0,66.0
401243419,68,69,68.0,70.0
401243420,76,70,,
