,1,2,3,4
401056504,66,68,71.0,72.0
401056505,71,69,,
401056510,73,66,,
401056512,65,72,72.0,72.0
401056514,66,68,74.0,75.0
401056515,64,70,70.0,81.0
401056516,75,69,75.0,69.0
401056522,76,69,,
401056526,68,68,73.0,72.0
401056527,75,68,69.0,71.0
401056528,71,66,74.0,75.0
401056543,70,71,70.0,70.0
401056544,67,64,74.0,67.0
401056545,64,67,,
401056547,70,67,69.0,77.0
401056549,73,69,,
401056551,68,67,67.0,71.0
401056552,69,66,72.0,71.0
401056553,65,70,68.0,72.0
401056554,66,70,69.0,73.0
401056556,72,69,73.0,76.0
401056559,70,70,66.0,68.0
401148238,70,65,70.0,71.0
401148239,74,71,69.0,71.0
401148241,70,73,74.0,70.0
401148244,75,70,69.0,72.0
401155420,70,70,73.0,74.0
401155421,74,69,,
401155422,70,71,71.0,67.0
401155423,72,70,70.0,76.0
401155424,74,73,70.0,71.0
401155459,65,65,68.0,71.0
401155461,70,70,74.0,75.0
401155466,67,69,69.0,69.0
401155467,68,69,68.0,71.0
401155473,70,67,70.0,71.0
401155474,69,71,,
401219333,73,81,,
401219478,74,70,73.0,72.0
401219481,73,68,76.0,67.0
401219498,66,70,75.0,69.0
401219793,73,70,,
401219796,74,74,69.0,67.0
401219797,70,66,74.0,67.0
401219800,73,71,,
401223849,72,72,,
401242998,69,75,,
401242999,67,67,61.0,72.0
401243000,65,67,71.0,70.0
401243001,68,68,73.0,71.0
401243004,70,69,68.0,75.0
401243005,70,74,68.0,75.0
401243009,67,70,67.0,66.0
401243010,71,68,72.0,70.0
401243419,63,70,66.0,71.0
