,1,2,3,4
401056252,71,70,,
401056503,71,73,,
401056504,70,70,,
401056505,67,67,69.0,73.0
401056506,69,73,,
401056510,69,74,,
401056511,68,69,67.0,71.0
401056512,73,69,,
401056514,70,70,71.0,72.0
401056517,73,73,,
401056525,74,70,,
401056526,69,68,75.0,73.0
401056545,64,65,71.0,64.0
401056546,65,70,64.0,68.0
401056548,70,69,70.0,72.0
401056549,68,68,69.0,71.0
401056550,77,72,,
401056551,69,73,,
401056553,68,70,71.0,68.0
401056555,68,68,,74.0
401056557,68,69,73.0,67.0
401056558,69,72,,
401148233,72,70,,
401148234,75,69,,
401148237,72,73,,
401148240,72,67,67.0,64.0
401148243,73,69,,
401155419,67,70,69.0,75.0
401155420,71,76,,
401155422,70,72,77.0,
401155425,66,68,66.0,69.0
401155426,71,74,,
401155459,72,72,,
401155460,70,69,72.0,70.0
401155472,70,70,69.0,69.0
401155473,67,70,67.0,71.0
401219480,71,74,,
401219793,71,69,,
401219799,66,80,,
401219801,73,66,71.0,67.0
401243000,69,74,70.0,73.0
401243003,67,73,68.0,70.0
401243008,73,72,74.0,67.0
401243401,68,69,71.0,72.0
401243419,71,74,,
