,1,2,3,4
401056502,69,67,70.0,72.0
401056511,68,68,68.0,70.0
401056512,63,66,69.0,69.0
401056521,71,70,77.0,75.0
401056522,74,66,68.0,68.0
401056527,75,73,,
401056542,68,74,71.0,72.0
401056543,68,73,73.0,70.0
401056544,65,68,69.0,71.0
401056547,69,67,68.0,79.0
401056550,70,67,68.0,68.0
401056552,70,67,73.0,75.0
401056553,74,67,74.0,70.0
401056554,75,63,71.0,71.0
401056556,65,70,68.0,74.0
401056559,67,68,70.0,68.0
401077167,70,70,68.0,65.0
401148241,69,70,71.0,73.0
401148244,69,70,71.0,65.0
401155420,75,70,,
401155423,69,69,74.0,75.0
401155426,72,74,,
401155427,73,77,,
401155459,63,69,68.0,66.0
401155461,73,76,,
401155466,67,73,,
401155473,73,67,,
401155474,69,70,67.0,67.0
401219333,73,77,,
401219478,67,70,76.0,70.0
401219481,66,68,70.0,67.0
401219498,70,67,66.0,65.0
401219796,74,72,68.0,75.0
401219797,67,67,72.0,67.0
401219801,70,70,,
401223849,74,80,,
401243002,73,71,76.0,73.0
401243004,71,68,,
401243010,65,72,72.0,74.0
401243433,74,73,,
