,1,2,3,4
401056513,71,72,,
401056515,75,71,,
401056523,72,73,,
401056526,73,69,72.0,76.0
401056528,70,66,69.0,72.0
401056554,76,67,77.0,77.0
401148234,74,70,,
401148238,69,74,68.0,67.0
401148243,69,76,,
401155420,72,74,,
401155421,66,75,71.0,71.0
401155422,74,66,74.0,
401155461,79,81,,
401155472,71,67,68.0,74.0
401219498,73,74,,
401219793,74,70,,
401219794,76,73,,
401219795,70,67,,
401219801,71,71,,
401219802,70,70,69.0,70.0
401242997,67,65,69.0,74.0
401242998,66,76,77.0,73.0
401243000,72,75,,
401243006,73,72,,
401243008,73,74,,
401243009,72,74,69.0,70.0
401243011,76,70,,
401243419,68,73,,
401243420,70,74,73.0,75.0
401243433,71,74,,
