,1,2,3,4
401056500,70,67,68.0,66.0
401056502,69,70,70.0,72.0
401056507,77,69,72.0,73.0
401056510,68,65,70.0,68.0
401056512,68,71,69.0,73.0
401056513,68,69,75.0,73.0
401056515,66,74,75.0,70.0
401056516,69,73,69.0,65.0
401056521,67,68,75.0,78.0
401056522,65,73,68.0,72.0
401056523,68,77,,
401056527,76,68,71.0,72.0
401056543,69,74,68.0,71.0
401056544,70,69,72.0,72.0
401056547,73,71,,
401056549,65,66,69.0,67.0
401056550,70,74,,
401056552,70,70,73.0,72.0
401056554,74,74,,
401056555,63,71,,71.0
401056556,73,76,,
401056558,70,68,69.0,67.0
401056559,74,78,65.0,75.0
401077167,71,69,72.0,70.0
401148233,67,68,67.0,70.0
401148236,69,68,69.0,74.0
401148237,76,72,,
401148239,69,63,71.0,69.0
401148241,73,72,71.0,66.0
401148242,70,73,,
401155418,69,66,69.0,70.0
401155420,66,72,73.0,70.0
401155421,67,70,71.0,73.0
401155423,75,73,,
401155426,70,76,,
401155427,73,72,76.0,75.0
401155459,69,69,67.0,69.0
401155460,69,69,73.0,67.0
401155461,73,73,77.0,78.0
401155466,67,74,,
401155467,68,70,70.0,73.0
401155474,68,67,69.0,70.0
401219333,75,73,,
401219481,73,72,,
401219793,68,72,,
401219794,66,65,73.0,69.0
401219795,70,67,,
401219796,75,70,68.0,72.0
401219800,70,75,,
401219801,67,68,67.0,67.0
401219802,69,72,68.0,66.0
401223849,69,71,74.0,70.0
401242997,70,69,,
401242999,66,65,70.0,72.0
401243001,68,74,75.0,71.0
401243004,69,74,64.0,78.0
401243005,70,72,73.0,69.0
401243006,69,69,67.0,74.0
401243009,71,73,70.0,70.0
401243401,73,77,,
401243420,66,75,71.0,71.0
401243433,64,66,69.0,71.0
