,1,2,3,4
401056500,68,67.0,67.0,69.0
401056501,73,69.0,70.0,74.0
401056502,75,74.0,77.0,72.0
401056504,69,74.0,,
401056513,68,72.0,74.0,70.0
401056515,70,70.0,69.0,72.0
401056516,72,75.0,66.0,70.0
401056521,73,73.0,,
401056522,71,70.0,,
401056527,71,73.0,73.0,71.0
401056528,67,72.0,71.0,67.0
401056544,69,67.0,72.0,80.0
401056551,69,68.0,67.0,70.0
401056552,72,73.0,,
401056553,70,62.0,69.0,66.0
401056556,72,77.0,,
401056558,75,,,
401056559,70,66.0,70.0,74.0
401148233,64,70.0,68.0,68.0
401148235,71,72.0,,
401148236,68,62.0,61.0,70.0
401148238,72,68.0,70.0,69.0
401148239,71,70.0,68.0,71.0
401155413,76,74.0,77.0,75.0
401155419,69,67.0,69.0,67.0
401155421,69,73.0,,
401155422,75,67.0,68.0,71.0
401155423,74,73.0,,
401155424,71,68.0,65.0,68.0
401155427,70,72.0,79.0,74.0
401155459,72,67.0,,
401155460,72,,,
401155461,74,69.0,71.0,73.0
401155466,66,66.0,65.0,67.0
401155467,72,64.0,74.0,67.0
401155474,71,65.0,73.0,66.0
401155475,72,74.0,71.0,74.0
401155476,69,70.0,71.0,72.0
401219333,75,77.0,,
401219478,73,68.0,69.0,70.0
401219481,70,73.0,,
401219795,66,66.0,64.0,76.0
401219796,76,66.0,73.0,71.0
401219797,70,65.0,69.0,71.0
401242996,71,68.0,69.0,79.0
401242997,67,66.0,61.0,65.0
401243001,70,72.0,72.0,70.0
401243002,73,69.0,69.0,67.0
401243004,71,71.0,76.0,73.0
401243005,81,,,
401243010,75,70.0,70.0,71.0
401243011,74,72.0,,
401243401,75,69.0,,
401243433,68,69.0,70.0,73.0
