,1,2,3,4
401056252,69,74,,
401056503,78,68,,
401056504,66,72,67.0,67.0
401056505,64,68,74.0,67.0
401056506,74,68,,
401056510,75,70,,
401056511,67,72,68.0,68.0
401056512,71,77,,
401056514,77,73,77.0,
401056515,66,74,71.0,78.0
401056517,69,71,70.0,73.0
401056520,69,72,66.0,73.0
401056523,71,68,73.0,75.0
401056525,71,68,69.0,67.0
401056526,72,72,,
401056545,67,70,,
401056546,65,67,70.0,71.0
401056548,71,74,,
401056549,70,68,69.0,74.0
401056550,72,69,72.0,74.0
401056551,65,73,66.0,66.0
401056553,74,73,,
401056555,73,69,,
401056557,70,73,,
401056558,68,69,68.0,68.0
401148233,69,76,,
401148234,71,71,,
401148236,69,72,,
401148237,68,73,69.0,72.0
401148240,68,69,66.0,68.0
401148242,72,70,,
401148243,68,70,67.0,72.0
401155418,72,68,71.0,68.0
401155419,71,72,71.0,
401155420,74,80,,
401155422,74,73,,
401155425,72,71,,
401155426,73,70,69.0,69.0
401155459,69,77,,
401155460,72,75,,
401155472,67,70,73.0,69.0
401155473,69,67,65.0,73.0
401219480,69,72,67.0,71.0
401219793,73,76,,
401219794,73,73,,
401219799,67,68,69.0,69.0
401219800,75,68,68.0,73.0
401242997,67,68,65.0,65.0
401242998,73,73,,
401243000,75,77,,
401243003,78,72,,
401243004,76,76,,
401243005,74,68,72.0,75.0
401243009,76,74,,
401243401,70,69,69.0,69.0
401243419,69,71,,
401243420,68,69,76.0,74.0
401243433,67,74,70.0,73.0
