,1,2,3,4
401056252,76,69.0,,
401056501,78,73.0,67.0,70.0
401056503,72,68.0,71.0,70.0
401056504,71,70.0,,
401056505,66,66.0,72.0,69.0
401056506,77,67.0,,
401056510,71,71.0,,
401056511,71,70.0,67.0,
401056512,68,75.0,,
401056514,72,73.0,74.0,
401056515,72,69.0,68.0,70.0
401056517,70,71.0,69.0,73.0
401056520,67,69.0,68.0,71.0
401056523,79,,,
401056525,71,68.0,67.0,73.0
401056526,69,67.0,69.0,72.0
401056528,70,69.0,74.0,72.0
401056544,73,71.0,,
401056545,68,71.0,,
401056548,71,71.0,,
401056549,64,72.0,67.0,68.0
401056550,72,70.0,70.0,75.0
401056551,68,72.0,,
401056553,72,69.0,71.0,74.0
401056554,68,67.0,72.0,79.0
401056556,76,74.0,,
401056557,72,70.0,,
401056558,72,74.0,,
401148233,73,65.0,,
401148234,75,70.0,,
401148235,75,74.0,,
401148236,73,69.0,,
401148238,69,67.0,72.0,75.0
401148240,69,69.0,75.0,69.0
401148242,71,73.0,,
401148243,64,68.0,66.0,69.0
401155418,76,68.0,,
401155419,68,69.0,68.0,68.0
401155420,73,74.0,,
401155421,71,73.0,,
401155423,67,73.0,69.0,69.0
401155425,70,69.0,70.0,67.0
401155426,69,71.0,71.0,73.0
401155427,72,73.0,72.0,79.0
401155459,72,73.0,,
401155460,69,69.0,72.0,68.0
401155466,69,69.0,,
401155472,70,70.0,71.0,76.0
401155473,68,75.0,,
401155474,67,68.0,69.0,70.0
401219480,74,68.0,,
401219498,72,75.0,,
401219793,74,69.0,,
401219794,68,73.0,70.0,73.0
401219795,72,71.0,,
401219796,78,73.0,70.0,68.0
401219799,70,70.0,76.0,72.0
401219800,76,70.0,,
401219801,71,72.0,,
401219802,69,70.0,67.0,75.0
401223849,71,71.0,74.0,67.0
401242997,69,66.0,66.0,64.0
401242998,74,72.0,,
401242999,66,66.0,66.0,68.0
401243001,70,72.0,79.0,72.0
401243004,71,78.0,,
401243005,72,71.0,71.0,72.0
401243006,72,73.0,,
401243009,70,73.0,70.0,71.0
401243011,67,73.0,70.0,73.0
401243401,68,71.0,71.0,68.0
401243419,65,65.0,67.0,66.0
401243420,66,77.0,70.0,76.0
401243433,69,69.0,71.0,71.0
