,1,2,3,4
401056500,66,68,65.0,69.0
401056501,72,71,70.0,69.0
401056515,75,70,,
401056516,72,66,69.0,73.0
401056521,76,72,,
401056522,73,70,73.0,70.0
401056523,70,72,66.0,69.0
401056527,71,66,71.0,76.0
401056542,70,71,70.0,70.0
401056543,70,69,68.0,68.0
401056544,68,65,70.0,69.0
401056547,70,72,72.0,69.0
401056549,66,68,74.0,68.0
401056552,70,68,73.0,79.0
401056554,73,70,71.0,76.0
401056556,66,70,70.0,72.0
401056559,73,69,66.0,67.0
401148239,69,69,71.0,71.0
401148241,68,69,65.0,69.0
401155424,68,71,76.0,71.0
401155426,74,75,,
401155459,69,69,69.0,72.0
401155461,72,73,73.0,79.0
401155466,64,70,71.0,68.0
401155467,68,67,68.0,68.0
401155474,65,65,68.0,73.0
401155475,72,69,74.0,71.0
401219333,67,74,68.0,73.0
401219478,68,70,75.0,70.0
401219481,70,71,70.0,67.0
401219498,73,73,,
401219795,65,68,71.0,64.0
401219796,70,73,74.0,70.0
401219801,73,69,,
401223849,68,70,79.0,75.0
401242998,72,71,70.0,71.0
401242999,69,67,63.0,71.0
401243002,69,68,70.0,69.0
401243005,73,69,74.0,70.0
401243010,76,70,72.0,71.0
401243433,73,67,66.0,69.0
