,1,2,3,4
401056252,69,70,69.0,72.0
401056503,68,72,67.0,69.0
401056504,67,70,61.0,71.0
401056506,69,67,67.0,65.0
401056511,68,68,68.0,67.0
401056513,74,72,,
401056514,68,66,70.0,72.0
401056520,66,69,72.0,66.0
401056521,70,71,71.0,69.0
401056522,76,72,,
401056523,72,67,72.0,70.0
401056526,72,70,66.0,69.0
401056528,76,70,,
401056542,73,75,70.0,72.0
401056543,66,69,69.0,69.0
401056544,71,68,72.0,69.0
401056545,67,68,71.0,69.0
401056547,72,69,71.0,71.0
401056548,67,64,69.0,69.0
401056549,71,70,,
401056550,70,69,72.0,71.0
401056552,72,69,69.0,73.0
401056554,72,72,69.0,76.0
401056556,73,72,,
401056558,67,72,67.0,62.0
401148234,70,72,,
401148235,77,71,,
401148236,67,63,66.0,70.0
401148238,74,69,71.0,69.0
401148239,72,69,68.0,69.0
401148241,73,70,74.0,72.0
401155419,67,76,65.0,
401155420,73,67,73.0,73.0
401155422,70,76,66.0,74.0
401155424,71,73,76.0,69.0
401155426,72,73,,
401155427,75,77,,
401155459,67,70,69.0,66.0
401155460,67,70,71.0,67.0
401155461,69,72,74.0,78.0
401155466,66,68,71.0,63.0
401155472,73,75,,
401155473,69,69,,
401155474,70,75,,
401219333,71,71,71.0,75.0
401219478,77,74,,
401219481,71,72,,
401219498,69,68,66.0,67.0
401219793,69,67,74.0,73.0
401219794,71,74,,
401219800,73,71,,
401219801,71,68,67.0,65.0
401219802,71,65,66.0,66.0
401242998,68,72,75.0,72.0
401242999,72,63,74.0,71.0
401243001,71,76,,
401243003,68,69,73.0,72.0
401243004,72,74,72.0,77.0
401243005,75,69,72.0,71.0
401243006,71,66,69.0,71.0
401243009,73,67,70.0,66.0
401243011,67,69,72.0,69.0
401243401,71,73,,
401243420,74,71,,
401243433,69,65,77.0,71.0
