,1,2,3,4
401056500,68,62.0,67.0,65.0
401056501,75,71.0,68.0,66.0
401056507,68,70.0,68.0,71.0
401056510,67,64.0,68.0,64.0
401056512,68,73.0,70.0,72.0
401056515,69,69.0,67.0,68.0
401056516,77,75.0,69.0,72.0
401056521,72,70.0,72.0,70.0
401056522,71,73.0,,
401056527,72,72.0,70.0,75.0
401056528,70,69.0,77.0,71.0
401056542,71,73.0,72.0,67.0
401056543,72,71.0,67.0,67.0
401056544,73,71.0,,
401056547,78,72.0,,
401056549,66,70.0,70.0,68.0
401056552,74,74.0,,
401056554,67,71.0,69.0,69.0
401056556,69,74.0,70.0,72.0
401056559,69,69.0,63.0,67.0
401148233,76,,,
401148235,70,72.0,67.0,65.0
401148238,72,69.0,72.0,71.0
401148239,76,70.0,69.0,71.0
401155418,68,70.0,71.0,67.0
401155420,68,72.0,68.0,65.0
401155423,70,72.0,68.0,74.0
401155424,74,70.0,68.0,71.0
401155427,71,69.0,72.0,73.0
401155459,69,72.0,,
401155461,72,75.0,71.0,76.0
401155466,66,65.0,72.0,72.0
401155467,70,69.0,69.0,73.0
401155474,75,72.0,,
401155475,80,78.0,79.0,73.0
401155476,66,75.0,73.0,69.0
401219333,73,78.0,,
401219478,70,72.0,70.0,68.0
401219481,70,72.0,,
401219796,73,71.0,70.0,75.0
401219797,71,73.0,72.0,70.0
401219802,74,77.0,,
401223849,72,77.0,,
401242996,69,69.0,71.0,69.0
401242997,66,65.0,65.0,65.0
401242998,71,70.0,72.0,70.0
401243001,69,73.0,73.0,68.0
401243002,72,70.0,74.0,71.0
401243004,74,75.0,,
401243005,71,74.0,,
401243010,72,67.0,70.0,73.0
401243419,66,69.0,68.0,70.0
