,1,2,3,4
401056528,73,71,,
401148233,68,66,67.0,73.0
401148234,67,71,71.0,70.0
401148235,75,74,,
401148237,75,73,,
401148242,74,70,,
401148243,66,68,70.0,71.0
401155418,72,68,64.0,71.0
401155420,74,66,69.0,74.0
401155422,73,70,72.0,
401155425,68,73,68.0,69.0
401155426,71,72,71.0,76.0
401155460,68,68,73.0,73.0
401155472,73,69,,
401155473,70,72,,
401219480,68,71,71.0,76.0
401219793,68,69,71.0,68.0
401219794,71,73,,
401219799,69,70,69.0,70.0
401219801,73,70,,
401219802,75,69,,
401223849,72,71,,
401242997,69,73,,
401242998,78,71,,
401243000,69,75,,
401243003,67,72,75.0,72.0
401243008,68,72,73.0,74.0
401243401,70,75,,
401243419,68,69,71.0,71.0
